Event,Relation,Consequence_or_Action
液化天然气车追尾苯酚车,leads_to,苯酚与液化天然气泄漏
苯酚与液化天然气泄漏,results_in,2人轻伤
苯酚与液化天然气泄漏,mitigates,省市政府领导现场指导+成立专项调查组+提出处理建议与改进措施
普通货车追尾苯槽罐车,leads_to,苯少量泄漏
苯少量泄漏,results_in,1人受伤
苯少量泄漏,mitigates,多部门现场处置+泡沫稀释+铺沙覆膜+转移危化品+环境监测
面包车超员11人,leads_to,追尾路侧半挂车
追尾路侧半挂车,results_in,6死5伤
6死5伤,mitigates,多部门应急响应+刑事拘留司机及企业管理人员
渣土车非法改装超载4倍+转弯操作不当,leads_to,左侧翻压对向轿车
左侧翻压对向轿车,results_in,1人当场死亡+三车受损
1人当场死亡+三车受损,mitigates,刑事拘留司机+企业停业整顿+开展超载非法改装治理
重型吊车制动失灵,leads_to,追尾多辆等红灯车辆
追尾多辆等红灯车辆,results_in,13人受伤+多车受损
13人受伤+多车受损,mitigates,控制司机+现场救援+快速清理现场
甲醛罐车侧翻,leads_to,罐体分离+泄压阀泄漏32.1吨甲醛
罐体分离+泄压阀泄漏32.1吨甲醛,results_in,高速长时间拥堵+环境污染风险
罐体分离+泄压阀泄漏32.1吨甲醛,mitigates,消防稀释+构筑围堰+9小时吊装倒罐
大雾天气,leads_to,十余车连环相撞
十余车连环相撞,results_in,3死20余人伤+堵车8小时
3死20余人伤+堵车8小时,mitigates,消防破拆救援+交警全封闭分流+逐步恢复通行
团雾天气,leads_to,4起交通事故+3车起火
4起交通事故+3车起火,results_in,1死1伤+12车受损
1死1伤+12车受损,mitigates,多部门救援+扑灭明火+13时恢复通行
丙烯酸丁酯罐车侧翻,leads_to,28吨丙烯酸丁酯泄漏
28吨丙烯酸丁酯泄漏,results_in,空气污染+交通中断
28吨丙烯酸丁酯泄漏,mitigates,稀释+围堰拦截+转运剩余+事后环境排查
渣土车闯红灯,leads_to,撞电动自行车
撞电动自行车,results_in,骑行者当场死亡
骑行者当场死亡,mitigates,刑事拘留司机+企业安全整顿+增设警示标识
重型货车超载运输建材,leads_to,重心不稳侧翻
重心不稳侧翻,results_in,砸毁2辆私家车+1死2伤
砸毁2辆私家车+1死2伤,mitigates,破拆救援+控制司机+开展超载专项排查
团雾天气,leads_to,20余辆车连环追尾
20余辆车连环追尾,results_in,4死16伤+拥堵超6小时
4死16伤+拥堵超6小时,mitigates,多部门联动破拆救援+吊车拖车清理+发布雾天预警
面包车超员12人+失控,leads_to,冲出护栏坠桥
冲出护栏坠桥,results_in,3死9伤
3死9伤,mitigates,消防医疗救援+刑事拘留司机+开展超员专项整治
盐酸危化品车与小轿车碰撞,leads_to,罐体轻微破损+盐酸少量泄漏
罐体轻微破损+盐酸少量泄漏,results_in,小轿车司机受伤
罐体轻微破损+盐酸少量泄漏,mitigates,碱性液体中和+核查运输资质
货车自燃,leads_to,后方车辆避让不及连环相撞
后方车辆避让不及连环相撞,results_in,2死5伤+6车受损1车烧毁
2死5伤+6车受损1车烧毁,mitigates,消防扑灭明火+调查自燃原因+加强消防巡查
泥头车右转未观察,leads_to,碾压电动自行车
碾压电动自行车,results_in,骑行者当场死亡
骑行者当场死亡,mitigates,控制司机+企业停业整改+全区专项培训+增设右转警示
液化气罐车轮胎爆胎失控,leads_to,阀门受损液化气泄漏
阀门受损液化气泄漏,results_in,双向交通中断+爆炸风险
阀门受损液化气泄漏,mitigates,疏散500米居民+喷雾稀释+专业团队抢修转移
校车与违规变道货车侧撞,leads_to,校车货车受损
校车货车受损,results_in,5名学生轻伤
5名学生轻伤,mitigates,送医+货车司机全责+约谈企业+校园交通安全宣传
重型货车疲劳驾驶,leads_to,追尾冷链车
追尾冷链车,results_in,货车司机死亡+冷链车侧翻+生鲜损毁
货车司机死亡+冷链车侧翻+生鲜损毁,mitigates,救援+转运剩余生鲜+增设疲劳驾驶提醒
油罐车与违规超车小轿车剐蹭急刹,leads_to,罐体轻微移位+2人轻微擦伤
罐体轻微移位+2人轻微擦伤,results_in,小轿车司机全责
罐体轻微移位+2人轻微擦伤,mitigates,检查罐体无泄漏+提醒避让危化品车
