:START_ID,:END_ID,relation_cn,:TYPE,case_id,case_title,evidence,confidence,source
EVT_CASE_9CC62EF2EB,EVT_CASE_04E49A0DEE,引发,CAUSES,002_连霍高速洛阳段货车侧翻货物散落事故_b2d03a8f,连霍高速洛阳段货车侧翻货物散落事故,连霍高速洛阳段K682公里处，一辆装载瓷砖的重型货车，因驾驶员操作不当，在高速出口匝道处发生侧翻，车载瓷砖全部散落至行车道与应急车道,0.9500,案例抽取导入
EVT_CASE_9DD0BDA4CE,EVT_VEHICLE_BACKLOG,引发,CAUSES,003_城市主干道公交车与电动车碰撞事故_a4b4dfcf,城市主干道公交车与电动车碰撞事故,造成电动自行车骑行者1人重伤，路口双向交通拥堵，周边3个路口出现车辆滞留,0.9000,案例抽取导入
MEA_CASE_4DEF057716,RES_EXCAVATOR,调用,REQUIRES,004_山区公路滑坡阻断交通事故_63a86176,山区公路滑坡阻断交通事故,交通部门组织专业施工队伍，调用挖掘机、装载机等设备，清理路面滑坡体,0.7500,案例抽取导入
MEA_CASE_4DEF057716,RES_LOADER,调用,REQUIRES,004_山区公路滑坡阻断交通事故_63a86176,山区公路滑坡阻断交通事故,交通部门组织专业施工队伍，调用挖掘机、装载机等设备，清理路面滑坡体,0.7500,案例抽取导入
MEA_CASE_5E9CDA061E,RES_CASE_70407E27F9,调用,REQUIRES,005_高速服务区车辆起火事故_dac6bbf7,高速服务区车辆起火事故,一辆小型轿车在停车场内充电时，因电池短路引发起火,0.8500,案例抽取导入
EVT_HAZMAT_LEAK,MEA_CASE_6BA428A393,触发,TRIGGERS,006_危化品运输车与私家车碰撞泄漏事故_9a2ba735,危化品运输车与私家车碰撞泄漏事故,某省道，一辆装载液态氨的罐式危化品运输车，与一辆逆行的私家车发生正面碰撞，危化品运输罐体轻微破损，液态氨少量泄漏,0.7000,案例抽取导入
EVT_CASE_4D219D5D07,MEA_CASE_72BE7C7A01,触发,TRIGGERS,007_城市快速路多车追尾事故_91cf4a2e,城市快速路多车追尾事故,一辆小型轿车因急刹车,0.6200,案例抽取导入
EVT_CASE_4D219D5D07,EVT_CASE_5DC52E598D,引发,CAUSES,007_城市快速路多车追尾事故_91cf4a2e,城市快速路多车追尾事故,造成3人轻微受伤，快速路单向交通严重拥堵，后方车辆滞留约6公里，早高峰通勤受到严重影响，事故车辆占用应急车道，影响救援车辆通行，部分车辆因碰撞出现油路泄漏，存在起火风险。,0.6000,案例抽取导入
EVT_CASE_CEA9425D82,MEA_CASE_6B219E66DE,触发,TRIGGERS,008_乡村道路拖拉机与行人碰撞事故_7fd0535a,乡村道路拖拉机与行人碰撞事故,发生碰撞，老人被撞倒在地,0.6200,案例抽取导入
EVT_RAINSTORM,EVT_CASE_60EF6773FA,引发,CAUSES,010_暴雨引发道路塌陷交通事故_f50e7896,暴雨引发道路塌陷交通事故,因突发暴雨，路面出现长度5米、宽度3米、深度1.5米的塌陷坑,0.9500,案例抽取导入
EVT_CASE_60EF6773FA,MEA_CASE_29AB47FA07,触发,TRIGGERS,010_暴雨引发道路塌陷交通事故_f50e7896,暴雨引发道路塌陷交通事故,应急管理部门立即启动《城市道路塌陷突发事件应急预案》,0.8500,案例抽取导入
EVT_HAZMAT_ACCIDENT,MEA_CASE_A6CD658948,触发,TRIGGERS,011_高速货车与护栏碰撞燃油泄漏事故_ae8b8317,高速货车与护栏碰撞燃油泄漏事故,因驾驶员疲劳驾驶,0.6200,案例抽取导入
MEA_CASE_CF67B7CA0F,RES_CASE_7BEA479A9E,调用,REQUIRES,012_城市路口货车闯红灯撞人事故_bb08dee8,城市路口货车闯红灯撞人事故,一辆重型货车闯红灯行驶,0.6200,案例抽取导入
EVT_CASE_911BCF600E,MEA_CASE_CF67B7CA0F,触发,TRIGGERS,012_城市路口货车闯红灯撞人事故_bb08dee8,城市路口货车闯红灯撞人事故,一辆重型货车闯红灯行驶,0.6200,案例抽取导入
EVT_CASE_911BCF600E,EVT_CASE_B6D073864B,引发,CAUSES,012_城市路口货车闯红灯撞人事故_bb08dee8,城市路口货车闯红灯撞人事故,造成2名行人1人死亡、1人重伤，电动自行车骑行者1人轻伤，电动自行车完全损坏，货车车头轻微受损，路口双向交通严重拥堵，周边多个路口出现车辆滞留，围观群众聚集易引发二次事故。,0.6000,案例抽取导入
EVT_CASE_D11990E045,MEA_CASE_1F23D49938,触发,TRIGGERS,013_山区公路客车坠崖事故_8922caf2,山区公路客车坠崖事故,因驾驶员超速行驶,0.6200,案例抽取导入
MEA_CASE_CE138D0F05,RES_CASE_8D16A7E2EC,调用,REQUIRES,014_大雾天气乡村道路交通事故_a8b00b5a,大雾天气乡村道路交通事故,设置警戒标志，疏散过往车辆和群众,0.7000,案例抽取导入
MEA_CASE_CE138D0F05,RES_CASE_D7EB68391B,调用,REQUIRES,014_大雾天气乡村道路交通事故_a8b00b5a,大雾天气乡村道路交通事故,设置警戒标志，疏散过往车辆和群众,0.7000,案例抽取导入
MEA_CASE_1BCFC5476A,RES_CASE_8D16A7E2EC,调用,REQUIRES,014_大雾天气乡村道路交通事故_a8b00b5a,大雾天气乡村道路交通事故,设置警戒标志，疏散过往车辆和群众,0.7000,案例抽取导入
MEA_CASE_1BCFC5476A,RES_CASE_D7EB68391B,调用,REQUIRES,014_大雾天气乡村道路交通事故_a8b00b5a,大雾天气乡村道路交通事故,设置警戒标志，疏散过往车辆和群众,0.7000,案例抽取导入
MEA_CASE_CEEE944B99,RES_CASE_EF8A921669,调用,REQUIRES,014_大雾天气乡村道路交通事故_a8b00b5a,大雾天气乡村道路交通事故,使用液压扩张器等装备，将被压骑行者解救出来,0.8000,案例抽取导入
EVT_CASE_FF7FD44A64,EVT_CASE_D04013D35F,引发,CAUSES,015_高速危化品车罐体爆炸事故_f7b8552f,高速危化品车罐体爆炸事故,引发液化石油气泄漏，遇明火发生爆炸,0.9000,案例抽取导入
EVT_CASE_F5EC6BBB9F,MEA_CASE_8D1B3BF475,触发,TRIGGERS,015_高速危化品车罐体爆炸事故_f7b8552f,高速危化品车罐体爆炸事故,爆炸冲击波导致周边多辆车辆受损,0.7000,案例抽取导入
MEA_CASE_F35658E3CB,RES_CASE_0386693A3A,调用,REQUIRES,017_桥梁施工坠落事故_fac4dd46,桥梁施工坠落事故,施工单位正在进行桥梁护栏维修作业，一辆施工工程车在桥面行驶,0.8000,案例抽取导入
EVT_ROAD_ICE,EVT_CASE_51C41B32E7,引发,CAUSES,018_冰雪路面乡村道路多车碰撞事故_4b49398a,冰雪路面乡村道路多车碰撞事故,因夜间气温骤降，路面结冰，一辆小型轿车行驶中发生侧滑，与对面行驶的一辆拖拉机、一辆电动自行车发生碰撞,0.9500,案例抽取导入
MEA_CASE_7719C4F54E,RES_CASE_70407E27F9,调用,REQUIRES,018_冰雪路面乡村道路多车碰撞事故_4b49398a,冰雪路面乡村道路多车碰撞事故,一辆小型轿车行驶中发生侧滑,0.8000,案例抽取导入
EVT_CASE_6F7A2A4A6F,MEA_CASE_F1317D2147,触发,TRIGGERS,019_高速服务区加油站起火事故_b0ce6eb0,高速服务区加油站起火事故,因驾驶员违规吸烟,0.6200,案例抽取导入
MEA_CASE_F85C37DD34,RES_CASE_8DF04046F3,调用,REQUIRES,020_城市快速路车辆抛锚引发拥堵事故_1458401e,城市快速路车辆抛锚引发拥堵事故,交通部门调用清障车，对抛锚客车进行拖移至安全区域,0.9000,案例抽取导入
EVT_CASE_987220FC67,MEA_CASE_52D03C4670,触发,TRIGGERS,020_城市快速路车辆抛锚引发拥堵事故_1458401e,城市快速路车辆抛锚引发拥堵事故,依据《道路交通安全法》对驾驶员未设置警示标志的行为进行处罚,0.7500,案例抽取导入
EVT_HAZMAT_LEAK,EVT_CASE_3F8D579860,引发,CAUSES,021_危化品运输车翻车泄漏污染农田事故_2fe5372a,危化品运输车翻车泄漏污染农田事故,罐体破损导致农药泄漏,0.9000,案例抽取导入
EVT_RAINSTORM,EVT_CASE_AF7628B03F,引发,CAUSES,022_山区公路落石砸伤车辆事故_d001ab7c,山区公路落石砸伤车辆事故,因突发暴雨，山体掉落一块直径约1米的石块，砸中行驶中的一辆小型轿车,0.9000,案例抽取导入
EVT_CASE_F942FD2EE9,EVT_CASE_091BB1089D,引发,CAUSES,023_高速多车追尾引发大火事故_161260cb,高速多车追尾引发大火事故,高速多车追尾引发大火事故,0.9500,案例抽取导入
EVT_CASE_9DD0BDA4CE,EVT_CASE_85237B46E2,引发,CAUSES,024_城市路口电动车逆行碰撞行人事故_202885c9,城市路口电动车逆行碰撞行人事故,现场有少量群众围观，路口交通出现短暂拥堵；路口交通拥堵约30分钟,0.8000,案例抽取导入
EVT_CASE_DE8891D1DD,EVT_ROAD_INTERRUPTION,引发,CAUSES,025_乡村道路校车与货车碰撞事故_056bd8b5,乡村道路校车与货车碰撞事故,事故路段双向交通中断,0.9000,案例抽取导入
EVT_CASE_028CA28AE4,EVT_CASE_F4AFE9A596,引发,CAUSES,026_隧道内车辆拥堵引发剐蹭事故_a5b5f089,隧道内车辆拥堵引发剐蹭事故,导致隧道内发生拥堵，一辆小型轿车在缓慢行驶中，与前方一辆SUV发生剐蹭,0.9000,案例抽取导入
EVT_RAINSTORM,EVT_METEO_ROAD,引发,CAUSES,027_暴雨天气高速路面积水车辆被困事故_fe1f8c53,暴雨天气高速路面积水车辆被困事故,因突发特大暴雨，路面积水最深达80厘米,0.9500,案例抽取导入
EVT_METEO_ROAD,EVT_CASE_106C22F38E,引发,CAUSES,027_暴雨天气高速路面积水车辆被困事故_fe1f8c53,暴雨天气高速路面积水车辆被困事故,路面积水最深达80厘米,0.8000,案例抽取导入
EVT_HAZMAT_LEAK,MEA_CASE_39D13A1B81,触发,TRIGGERS,028_危化品运输车违规停放泄漏事故_25308dba,危化品运输车违规停放泄漏事故,对泄漏点进行堵漏,0.6200,案例抽取导入
EVT_HAZMAT_LEAK,MEA_CASE_F2C178773D,触发,TRIGGERS,028_危化品运输车违规停放泄漏事故_25308dba,危化品运输车违规停放泄漏事故,采取清理、吸附等措施控制污染,0.6200,案例抽取导入
EVT_CASE_9CC62EF2EB,MEA_CASE_A048795819,触发,TRIGGERS,029_山区公路货车超载翻车事故_3d730728,山区公路货车超载翻车事故,一辆重型货车超载运输砂石,0.6200,案例抽取导入
EVT_CASE_9CC62EF2EB,EVT_CASE_0A5C5DEE74,引发,CAUSES,029_山区公路货车超载翻车事故_3d730728,山区公路货车超载翻车事故,造成货车驾驶员1人重伤，被困车内无法自行撤离，砂石散落占用整个道路，事故路段双向交通完全中断，周边乡镇与县城的交通联系受阻，散落的砂石存在滑落伤人的风险，救援难度较大。,0.6000,案例抽取导入
MEA_CASE_03349F59B0,ORG_CASE_B6CBD41599,实施主体,IMPLEMENTED_BY,030_城市主干道施工车辆碰撞行人事故_b9b4272c,城市主干道施工车辆碰撞行人事故,交通部门责令施工单位整改安全隐患，增设专人现场疏导，完善警示标志,0.8000,案例抽取导入
MEA_CASE_C2D9BE1EAA,ORG_CASE_C08151231F,实施主体,IMPLEMENTED_BY,030_城市主干道施工车辆碰撞行人事故_b9b4272c,城市主干道施工车辆碰撞行人事故,交警部门到场开展现场勘查，认定事故责任,0.9000,案例抽取导入
MEA_CASE_12987E1F14,ORG_CASE_B6CBD41599,实施主体,IMPLEMENTED_BY,030_城市主干道施工车辆碰撞行人事故_b9b4272c,城市主干道施工车辆碰撞行人事故,交通部门责令施工单位整改安全隐患，增设专人现场疏导，完善警示标志,0.8000,案例抽取导入
MEA_CASE_72E84ECB20,RES_CASE_325A82726F,调用,REQUIRES,031_高速路车辆爆胎侧滑碰撞护栏事故_2f64760b,高速路车辆爆胎侧滑碰撞护栏事故,护栏被撞断约5米,0.6500,案例抽取导入
EVT_TRAFFIC_ACCIDENT,MEA_CASE_0B78E0C051,触发,TRIGGERS,032_乡村道路电动三轮车载人碰撞事故_9f17a404,乡村道路电动三轮车载人碰撞事故,因驾驶员超速行驶,0.6200,案例抽取导入
EVT_TRAFFIC_ACCIDENT,MEA_CASE_6B219E66DE,触发,TRIGGERS,032_乡村道路电动三轮车载人碰撞事故_9f17a404,乡村道路电动三轮车载人碰撞事故,发生碰撞,0.6200,案例抽取导入
EVT_TRAFFIC_ACCIDENT,EVT_TRAFFIC_ACCIDENT,引发,CAUSES,032_乡村道路电动三轮车载人碰撞事故_9f17a404,乡村道路电动三轮车载人碰撞事故,造成电动三轮车驾驶员1人重伤、3名乘车人1人重伤、2人轻伤，电动三轮车完全损坏，小型货车轻微受损，事故路段双向交通拥堵，周边村民出行受阻，电动三轮车违规载人存在极大安全隐患。,0.6000,案例抽取导入
EVT_HAZMAT_LEAK,EVT_CASE_FF7FD44A64,引发,CAUSES,033_隧道内危化品车泄漏引发中毒事故_0fd25950,隧道内危化品车泄漏引发中毒事故,因罐体破损导致甲醛泄漏,0.9500,案例抽取导入
EVT_CASE_FF7FD44A64,MEA_CASE_7B049C8E34,触发,TRIGGERS,033_隧道内危化品车泄漏引发中毒事故_0fd25950,隧道内危化品车泄漏引发中毒事故,泄漏的甲醛产生有毒气体，开展排烟通风,0.8000,案例抽取导入
EVT_CASE_FF7FD44A64,MEA_CASE_26F6CA0D04,触发,TRIGGERS,033_隧道内危化品车泄漏引发中毒事故_0fd25950,隧道内危化品车泄漏引发中毒事故,泄漏的甲醛产生有毒气体，开展堵漏处置,0.8000,案例抽取导入
MEA_CASE_7B049C8E34,RES_CASE_42E3A09DF1,调用,REQUIRES,033_隧道内危化品车泄漏引发中毒事故_0fd25950,隧道内危化品车泄漏引发中毒事故,隧道通风系统,0.7000,案例抽取导入
MEA_CASE_1F94E0BD1F,RES_CASE_056D880291,调用,REQUIRES,033_隧道内危化品车泄漏引发中毒事故_0fd25950,隧道内危化品车泄漏引发中毒事故,危化品专业处置队伍对剩余有毒化学品进行安全转运,0.7000,案例抽取导入
EVT_RAINSTORM,EVT_CASE_0B82C87221,引发,CAUSES,034_暴雨引发山体滑坡掩埋车辆事故_85efeb44,暴雨引发山体滑坡掩埋车辆事故,因连续多日暴雨，山体发生大型滑坡,0.9800,案例抽取导入
MEA_CASE_0B78E0C051,RES_CASE_7BEA479A9E,调用,REQUIRES,035_高速货车与客车碰撞重大事故_e7324881,高速货车与客车碰撞重大事故,一辆重型货车因超速行驶,0.6200,案例抽取导入
EVT_CASE_67892ECD63,MEA_CASE_0B78E0C051,触发,TRIGGERS,035_高速货车与客车碰撞重大事故_e7324881,高速货车与客车碰撞重大事故,一辆重型货车因超速行驶,0.6200,案例抽取导入
EVT_CASE_67892ECD63,MEA_CASE_6BA428A393,触发,TRIGGERS,035_高速货车与客车碰撞重大事故_e7324881,高速货车与客车碰撞重大事故,发生正面碰撞,0.6200,案例抽取导入
EVT_CASE_427F0A2151,EVT_CASE_8D34029A60,引发,CAUSES,037_桥梁护栏破损车辆坠江事故_d6e9c6ca,桥梁护栏破损车辆坠江事故,因桥梁护栏年久失修、破损严重，一辆小型轿车在行驶中，因驾驶员操作不当，车辆失控冲撞破损护栏，从桥梁坠落至江中,0.9000,案例抽取导入
MEA_CASE_B9C3743B4E,ORG_CASE_C08151231F,实施主体,IMPLEMENTED_BY,038_冰雪路面高速多车连环追尾事故_5979c3c4,冰雪路面高速多车连环追尾事故,交警部门立即封闭事故路段,0.9000,案例抽取导入
MEA_CASE_CE138D0F05,ORG_CASE_C08151231F,实施主体,IMPLEMENTED_BY,038_冰雪路面高速多车连环追尾事故_5979c3c4,冰雪路面高速多车连环追尾事故,交警部门立即封闭事故路段，设置警戒标志和减速带,0.8000,案例抽取导入
MEA_CASE_13F54D4CC6,ORG_CASE_C08151231F,实施主体,IMPLEMENTED_BY,038_冰雪路面高速多车连环追尾事故_5979c3c4,冰雪路面高速多车连环追尾事故,交警部门立即封闭事故路段，设置警戒标志和减速带，安排警力疏导后方车辆,0.8000,案例抽取导入
MEA_CASE_494ABBE9EA,ORG_CASE_C08151231F,实施主体,IMPLEMENTED_BY,038_冰雪路面高速多车连环追尾事故_5979c3c4,冰雪路面高速多车连环追尾事故,交警部门立即封闭事故路段，设置警戒标志和减速带，安排警力疏导后方车辆，清理应急车道,0.8000,案例抽取导入
MEA_CASE_AC3160A04E,ORG_CASE_CECFFFD120,实施主体,IMPLEMENTED_BY,038_冰雪路面高速多车连环追尾事故_5979c3c4,冰雪路面高速多车连环追尾事故,消防救援队伍调集多辆消防车，赶赴现场解救被困人员,0.9000,案例抽取导入
