source,relation,target
隧道内油罐车侧翻,leads_to,隧道内汽柴油大量泄漏并产生有毒烟雾
隧道内汽柴油大量泄漏并产生有毒烟雾,results_in,双向封闭致千余车辆滞留+12人吸入性损伤
隧道内汽柴油大量泄漏并产生有毒烟雾,mitigates,依据《中华人民共和国道路交通安全法》第三十九条实施隧道临时交通管制+按照《国家交通应急预案》第三章调派危化品消防队+分批疏散滞留司乘+同步开展环境监测和排烟
高架桥面结冰载客大巴与危化槽车连环追尾,leads_to,高架桥多车挤压变形伴随危化品泄漏
高架桥多车挤压变形伴随危化品泄漏,results_in,高架结构局部受损+18人受伤+交通中断8公里
高架桥多车挤压变形伴随危化品泄漏,mitigates,依《中华人民共和国道路交通安全法》第六十八条组织交通分流+按《国家交通应急预案》第四章启动危险化学品专项响应+调集桥梁检测与防冻队伍+实施高架全线封闭除冰
核磁共振设备运输车在医院门口被重卡撞击,leads_to,高磁场设备跌落导致强磁泄漏与道路阻断
高磁场设备跌落导致强磁泄漏与道路阻断,results_in,医院急救通道瘫痪+7人受伤+救护车改道
高磁场设备跌落导致强磁泄漏与道路阻断,mitigates,依据《中华人民共和国道路交通安全法》第四十三条划设警戒区+依托《国家交通应急预案》第五章协调专业除磁队伍+转移危重患者+恢复医院急救专用通道
跨海大桥危化品槽车台风中失控冲撞护栏,leads_to,槽体破裂并向海域泄漏甲醇
槽体破裂并向海域泄漏甲醇,results_in,跨海大桥双向封闭+航道预警+3人坠海失踪
槽体破裂并向海域泄漏甲醇,mitigates,依据《中华人民共和国道路交通安全法》第四十二条实施跨桥封控+依照《国家交通应急预案》第六章启动海上联合救援+布设拦油索+调遣海事与环保力量监测海域
地铁施工基坑坍塌砸中主干道公交车,leads_to,大型钢筋构件压覆多辆公交与社会车辆
大型钢筋构件压覆多辆公交与社会车辆,results_in,14人受伤+主干道中断2小时+地下管线破裂
大型钢筋构件压覆多辆公交与社会车辆,mitigates,依据《中华人民共和国道路交通安全法》第三十九条设置交通绕行+按照《国家交通应急预案》第四章组织城市抢险支队+实施基坑加固与危大构件吊离+保证公交接驳
山区悬崖公路旅游大巴刹车失灵冲出护栏,leads_to,车辆坠入峡谷并造成油箱破裂
车辆坠入峡谷并造成油箱破裂,results_in,17人遇险+山路双向封闭+二次滑坡风险
车辆坠入峡谷并造成油箱破裂,mitigates,依《中华人民共和国道路交通安全法》第三十八条实施山区交通管制+按《国家交通应急预案》第三章调集山地救援和危化排险力量+启用直升机绞吊救援+加固边坡
高速公路无人驾驶货运编队系统瘫痪停在主车道,leads_to,编队车辆集体熄火阻断三条车道
编队车辆集体熄火阻断三条车道,results_in,后方车流急刹连撞+9人受伤
编队车辆集体熄火阻断三条车道,mitigates,依据《中华人民共和国道路交通安全法》第四十四条实施快速路交通管制+依《国家交通应急预案》第二章调派智能交通专家组+远程切断动力并组织清障+发布分流指令
高速服务区氢燃料客车补能时爆燃,leads_to,氢气快速泄压并引燃周边车辆
氢气快速泄压并引燃周边车辆,results_in,服务区主区受损+5人重伤+高速关闭15公里
氢气快速泄压并引燃周边车辆,mitigates,依据《中华人民共和国道路交通安全法》第三十九条临时封闭服务区匝道+按《国家交通应急预案》第四章调动专用灭氢消防装备+实施远程喷淋降温+疏散滞留旅客
机场联络线大巴与航油补给车对向碰撞,leads_to,航油泄漏并形成大面积油雾
航油泄漏并形成大面积油雾,results_in,机场联络线封闭+航班延误+8名乘客受伤
航油泄漏并形成大面积油雾,mitigates,依《中华人民共和国道路交通安全法》第四十三条划设警戒与禁火区+依据《国家交通应急预案》第六章启动机场地面保障应急程序+铺设泡沫覆盖+协调民航部门保障旅客转运
超长风电叶片运输车在隧道内卡死后起火,leads_to,叶片与隧道壁摩擦引发树脂燃烧
叶片与隧道壁摩擦引发树脂燃烧,results_in,隧道内温度骤升+交通中断+3人受伤
叶片与隧道壁摩擦引发树脂燃烧,mitigates,依据《中华人民共和国道路交通安全法》第四十二条封闭隧道+按照《国家交通应急预案》第三章调派隧道消防机器人+组织逆向排烟和叶片冷却+实施分段交通恢复
城市高架桥夜间吊装钢箱梁坠落砸车流,leads_to,箱梁横向阻断主线并压毁多辆车
箱梁横向阻断主线并压毁多辆车,results_in,主线拥堵12公里+4人受伤+地铁盾构停工
箱梁横向阻断主线并压毁多辆车,mitigates,依《中华人民共和国道路交通安全法》第三十九条实施高架全封闭+按《国家交通应急预案》第二章启动市政工程事故响应+吊装破拆箱梁+同步部署公交接驳
液氮运输半挂车高速急弯侧翻并迅速气化,leads_to,液氮蒸发造成低温雾障与路面结霜
液氮蒸发造成低温雾障与路面结霜,results_in,能见度降至5米+多车追尾+2人冻伤
液氮蒸发造成低温雾障与路面结霜,mitigates,依据《中华人民共和国道路交通安全法》第六十八条实施区域限速与分流+按照《国家交通应急预案》第四章调用专业危化处置车+铺设防冻沙+强制排雾
汽车轮渡靠岸制动失效多车滑入江面,leads_to,多辆车辆坠入江水并发生燃油泄漏
多辆车辆坠入江水并发生燃油泄漏,results_in,港区交通封闭+6人失联+江面污染
多辆车辆坠入江水并发生燃油泄漏,mitigates,依据《中华人民共和国道路交通安全法》第四十三条实施港区交通管制+依据《国家交通应急预案》第六章启动水上搜救+布设围油栏+吊装打捞车辆
高速互通立交因地震局部坍塌压车辆,leads_to,匝道桥面断裂压覆10余辆车
匝道桥面断裂压覆10余辆车,results_in,多人被困+交通枢纽瘫痪+危险品车辆滞留
匝道桥面断裂压覆10余辆车,mitigates,依据《中华人民共和国道路交通安全法》第三十九条实施枢纽全封闭与绕行+按《国家交通应急预案》第一章启动地震应急联动+调派工程抢险机械+构建临时通行体系
暴雪夜除冰车与硝酸槽车对撞,leads_to,硝酸泄漏与路面强腐蚀
硝酸泄漏与路面强腐蚀,results_in,6名作业人员灼伤+道路结冰再生+交通中断
硝酸泄漏与路面强腐蚀,mitigates,依据《中华人民共和国道路交通安全法》第三十七条采取临时封道除险+依《国家交通应急预案》第四章调派防化消防与环保监测+使用碱性物质中和+布设警戒
山洪突发冲入县城主干道挟带危化车,leads_to,洪水裹挟危化车冲撞桥墩造成泄漏
洪水裹挟危化车冲撞桥墩造成泄漏,results_in,桥梁受损+城区断行+居民紧急疏散
洪水裹挟危化车冲撞桥墩造成泄漏,mitigates,依据《中华人民共和国道路交通安全法》第三十九条实施城区交通封控+依《国家交通应急预案》第七章同步启动防汛与危化品应急+布设临时堤坝+组织居民避险
化工园区爆炸冲击波吹翻高速危化车队,leads_to,多辆危化品车翻覆泄漏易燃气体
多辆危化品车翻覆泄漏易燃气体,results_in,高速双向封闭+爆炸次生风险+24人疏散
多辆危化品车翻覆泄漏易燃气体,mitigates,依据《中华人民共和国道路交通安全法》第三十九条实施爆炸危险区交通隔离+按《国家交通应急预案》第四章调派防爆消防+部署静电接地和稀释措施+疏散周边居民
高速边坡泥石流掩埋应急救援车队,leads_to,泥石流覆盖3条车道并掩埋多辆救援车
泥石流覆盖3条车道并掩埋多辆救援车,results_in,救援力量受损+道路全封闭+次生滑坡风险
泥石流覆盖3条车道并掩埋多辆救援车,mitigates,依据《中华人民共和国道路交通安全法》第三十九条实施山区交通封控+按照《国家交通应急预案》第七章调动自然灾害救援力量+利用无人机和雷达勘测二次灾害+增派后续救援队
地下综合管廊爆炸致主干道塌陷吞没车辆,leads_to,主干道大面积塌陷形成巨坑
主干道大面积塌陷形成巨坑,results_in,8辆车坠坑+城市交通干线断裂
主干道大面积塌陷形成巨坑,mitigates,依据《中华人民共和国道路交通安全法》第三十九条划定塌陷管控区+按《国家交通应急预案》第二章启动市政设施事故响应+封堵燃气水电管线+搭建临时便道
风暴潮淹没沿海快速路引发大规模抛锚,leads_to,快速路被海水倒灌并积水一米
快速路被海水倒灌并积水一米,results_in,数百车辆熄火被困+通信中断+盐水腐蚀路面
快速路被海水倒灌并积水一米,mitigates,依据《中华人民共和国道路交通安全法》第三十九条实施沿海段交通管制+根据《国家交通应急预案》第七章联动海防与排涝力量+组织大巴接驳转移+架设临时抽排设备
高速隧道内自动驾驶巴士追尾危险品运输车,leads_to,危险品槽罐破裂且自动驾驶系统瘫痪
危险品槽罐破裂且自动驾驶系统瘫痪,results_in,隧道内有毒气体扩散+32名乘客被困
危险品槽罐破裂且自动驾驶系统瘫痪,mitigates,依据《中华人民共和国道路交通安全法》第四十二条实施隧道封闭与逆向疏散+参考《国家交通应急预案》第四章调派防化消防机器人+远程隔断自动驾驶车辆电源+建立多点排风
城市主干道大型活动舞台倒塌砸向车流,leads_to,巨型舞台结构坠落压覆多车
巨型舞台结构坠落压覆多车,results_in,道路堵塞6公里+11人受伤+周边人群恐慌
