run_id,run_time,sample_id,group_id,retrieval_mode,agent_mode,enable_review,enable_revision,model_name,latency_ms,input_tokens,output_tokens,total_tokens,approved_like,executability_score,safety_score,constraint_alignment_score,evidence_grounding_score,total_score,rule_total_score,score_backend,llm_judge_enabled,llm_judge_success,llm_judge_weight,llm_judge_model,llm_executability_score,llm_safety_score,llm_compliance_score,llm_overall_score,llm_judge_reason,llm_judge_error,constraint_coverage,critical_miss_rate,has_forbidden_action,critical_action_missed,missing_actions_count,violated_constraints_count,evidence_hit_count,notes
R20260412155542,2026-04-12T15:55:42,S075,G5,dual,multi_with_review,1,1,gemma-3-27b-it,93417,0,0,0,1,0.85,0.75,0.8,0.7,0.79,0.78,hybrid,1,1,0.5,xopdeepseekv32,0.8,0.7,0.9,0.8,方案步骤清晰完整，符合法规预案。但对农机车队撤离中的二次事故风险及如何解决10公里拥堵的具体措施考虑不足，安全细节有待加强。,,0.8,0.0,0,0,0,0,1,方案整体清晰，步骤合理，基本覆盖了事故处理的必要环节，并考虑了农机车队的特殊性。但在安全方面，对农机车队撤离过程的潜在风险考虑不足，疏导方案缺乏细节。方案符合相关法规和预案要求。
R20260412155542,2026-04-12T15:55:42,S076,G5,dual,multi_with_review,1,1,gemma-3-27b-it,89441,0,0,0,1,0.9,0.95,0.9,0.8,0.89,0.88,hybrid,1,1,0.5,xopdeepseekv32,0.85,0.9,0.95,0.9,方案步骤清晰完整，覆盖管制、救援、排险、调查、恢复等关键环节，可执行性高。风险控制全面，突出二次坠落防范和伤员救援。依法依规引用相关法律，责任调查明确。,,0.9,0.0,0,0,0,0,2,方案整体较为完整，考虑了现场控制、救援、风险防范和责任调查等关键环节。步骤清晰，资源需求明确，并引用了相关法律法规。但在二次坠落风险的持续监控和消除方面，可以更加细化。方案在合规性方面表现良好，但仍需进一步确认是否符合当地的具体应急预案要求。
R20260412155542,2026-04-12T15:55:42,S077,G5,dual,multi_with_review,1,1,gemma-3-27b-it,97675,0,0,0,1,0.85,0.75,0.9,0.6,0.795,0.78,hybrid,1,1,0.5,xopdeepseekv32,0.75,0.8,0.9,0.81,方案步骤清晰完整，符合法规要求，人员救援与交通疏导措施得当。但对无人机残骸的专门处理流程（如调查、专业回收）未明确，可能遗漏管控其作为飞行器的特定风险。,,0.9,0.0,0,0,0,0,1,方案整体可执行性较强，符合法规要求，但在安全方面存在一定提升空间，例如对无人机残骸的处理未明确专业单位介入。方案步骤清晰，资源需求合理，但缺乏对拥堵持续时间预估和分流方案优化的考虑。
R20260412155542,2026-04-12T15:55:42,S078,G5,dual,multi_with_review,1,1,gemma-3-27b-it,91539,0,0,0,1,0.9,0.95,0.9,0.8,0.84,0.88,hybrid,1,1,0.5,xopdeepseekv32,0.8,0.7,0.9,0.8,策略步骤明确，职责清晰，符合法规要求。但对村民情绪控制和群体纠纷预防的措施细节不足，对现场新增风险（如围观群众）的控制方案稍显笼统，整体可行性强。,,0.9,0.0,0,0,0,0,2,方案整体较为完整，考虑了现场控制、伤员救治、交通恢复和群体性事件防范等关键要素。步骤清晰，资源需求明确，并引用了相关法律法规。但方案在群体性事件的控制方面略显单薄，且未明确事故责任的划分流程。
R20260412155542,2026-04-12T15:55:42,S079,G5,dual,multi_with_review,1,1,gemma-3-27b-it,119796,0,0,0,0,0.85,0.75,0.9,0.6,0.775,0.78,hybrid,1,1,0.5,xopdeepseekv32,0.8,0.6,0.9,0.77,方案步骤清晰完整，可执行性强，并符合应急预案要求。但安全维度存在不足，未明确剐蹭事故现场的安全隔离措施以防范二次事故风险。,,0.9,0.0,0,0,1,0,1,方案整体可执行性较强，步骤清晰，资源需求明确。但在安全方面，对剐蹭事故的后续处理略显简单，未充分考虑二次事故风险。合规性方面，方案符合国家交通应急预案的要求，但缺乏针对共享单车违规停放的具体法规依据。整体而言，方案较为合理，但仍有改进空间。；连续无效修订达到阈值(2)，停止继续修订
R20260412155542,2026-04-12T15:55:42,S080,G5,dual,multi_with_review,1,1,gemma-3-27b-it,75134,0,0,0,1,0.85,0.9,0.8,0.7,0.825,0.82,hybrid,1,1,0.5,xopdeepseekv32,0.8,0.8,0.9,0.83,方案步骤详细、职责明确，具备较高可执行性和合规性。对现场控制、人员安全、环境风险及社会影响均有考虑，符合应急预案要求。但方案未针对70米长叶片的具体处置难点（如切割位置、稳定方法）做细化说明。,,0.8,0.0,0,0,0,0,1,方案整体清晰、可执行，并考虑了安全和合规性。步骤较为完整，资源需求明确。但方案在风险评估和恢复时间目标设定方面略显不足，且对山区环境的特殊性考虑不够深入。
R20260412155542,2026-04-12T15:55:42,S081,G5,dual,multi_with_review,1,1,gemma-3-27b-it,91589,0,0,0,1,0.85,0.9,0.8,0.7,0.84,0.82,hybrid,1,1,0.5,xopdeepseekv32,0.85,0.8,0.95,0.86,方案步骤具体完整，可执行性强；考虑了游客疏散、现场封锁和伤员救治等关键安全环节，但未针对猛兽区动物安全与游览车司机心理状态制定明确措施；整体符合相关法律法规和应急预案要求。,,0.8,0.0,0,0,0,0,1,方案整体清晰、可执行，基本覆盖了事故处理的必要环节，并考虑到了动物园的特殊性（游客疏散、猛兽区安全）。方案符合相关法律法规和应急预案，且在安全方面考虑周全。但缺少对游览车司机的心理疏导，以及对猛兽区动物安全的影响评估。
R20260412155542,2026-04-12T15:55:42,S082,G5,dual,multi_with_review,1,1,gemma-3-27b-it,83957,0,0,0,1,0.8,0.75,0.8,0.7,0.78,0.76,hybrid,1,1,0.5,xopdeepseekv32,0.8,0.7,0.9,0.8,方案步骤清晰完整，各部门职责明确，符合应急响应流程与法律法规。但针对持续落石滑坡的极端恶劣环境，侦察与救援环节的风险控制措施不够具体，未能充分体现对救援人员自身安全的专项防护和动态风险评估。,,0.8,0.0,0,0,1,0,1,方案整体清晰，步骤合理，符合应急响应流程，并考虑了二次灾害风险。但在安全评估和人员转移方面略显不足，需要更细致的风险控制措施。方案符合相关法律法规和应急预案要求。
R20260412155542,2026-04-12T15:55:42,S083,G5,dual,multi_with_review,1,1,gemma-3-27b-it,85765,0,0,0,1,0.85,0.9,0.8,0.7,0.805,0.81,hybrid,1,1,0.5,xopdeepseekv32,0.7,0.8,0.9,0.8,方案步骤清晰，职责明确，覆盖了救援、环保、清障等关键环节，可执行性较好。对燃油泄漏、二次滑坡等风险有所考虑。符合相关法规与预案要求。但对进场陡坡的临时加固、车辆固定防二次移动等具体安全措施描述不足，部分步骤仍偏概括。,,0.8,0.0,0,0,0,0,1,方案整体清晰，步骤合理，覆盖了事故处理的主要环节，并考虑了安全和环保因素。但方案在风险控制方面略有不足，且对恢复交通的具体措施描述不够细致。方案符合相关法律法规和应急预案的要求。
R20260412155542,2026-04-12T15:55:42,S084,G5,dual,multi_with_review,1,1,gemma-3-27b-it,81084,0,0,0,1,0.85,0.75,0.8,0.7,0.825,0.78,hybrid,1,1,0.5,xopdeepseekv32,0.85,0.8,0.95,0.87,方案步骤清晰、完整且具体，符合应急流程与法规。但安全风险评估环节描述仍可更具体（如明确评估要点），且对服务区其他设备的风险排查可更明确。,,0.8,0.0,0,0,1,0,1,方案整体清晰，步骤合理，覆盖了事故处置的主要环节，并考虑了后续调查和安全检查。但安全方面略有不足，对起重设备的安全风险评估描述较为笼统，且未明确提及对其他汽修车间设备的检查。方案符合相关法律法规和应急预案要求。
