:START_ID,:END_ID,relation_cn,:TYPE,case_id,case_title,evidence,confidence,source
EVT_CASE_B9F7125E79,EVT_CASE_4D219D5D07,引发,CAUSES,001_京港澳高速漯河段多车连环追尾事故_e0fe5421,京港澳高速漯河段多车连环追尾事故,因突发团雾导致能见度不足50米，一辆重型半挂牵引车与前方3辆小型轿车、2辆轻型货车发生连环追尾,0.9500,案例抽取导入
EVT_CASE_4D219D5D07,EVT_CASE_436A2F6617,引发,CAUSES,001_京港澳高速漯河段多车连环追尾事故_e0fe5421,京港澳高速漯河段多车连环追尾事故,事故路段双向交通完全中断,0.8500,案例抽取导入
EVT_CASE_4D219D5D07,EVT_CASE_3B6CFC25B4,引发,CAUSES,001_京港澳高速漯河段多车连环追尾事故_e0fe5421,京港澳高速漯河段多车连环追尾事故,后方车辆滞留约8公里,0.8000,案例抽取导入
EVT_CASE_4D219D5D07,EVT_HAZMAT_LEAK,引发,CAUSES,002_城市隧道内危化品车追尾泄漏事故_1606f9a2,城市隧道内危化品车追尾泄漏事故,与前方一辆私家车发生追尾，导致危化品运输车罐体破损，柴油持续泄漏,0.9500,案例抽取导入
EVT_RAINSTORM,EVT_MAJOR_BRIDGE_ACCIDENT,引发,CAUSES,003_山区公路桥梁坍塌事故_55111111,山区公路桥梁坍塌事故,因连续强降雨导致桥梁基础冲刷受损,0.9500,案例抽取导入
EVT_MAJOR_BRIDGE_ACCIDENT,MEA_CASE_6933DFD8F9,触发,TRIGGERS,003_山区公路桥梁坍塌事故_55111111,山区公路桥梁坍塌事故,依据《公路安全保护条例》开展事故调查,0.7000,案例抽取导入
EVT_RAINSTORM,EVT_METEO_ROAD,引发,CAUSES,004_暴雨天气城市道路积水交通事故_2e78a65f,暴雨天气城市道路积水交通事故,因突发特大暴雨（1小时降雨量达80毫米），导致道路严重积水,0.9500,案例抽取导入
EVT_METEO_ROAD,EVT_CASE_76C2F46F5E,引发,CAUSES,004_暴雨天气城市道路积水交通事故_2e78a65f,暴雨天气城市道路积水交通事故,一辆小型轿车不慎驶入积水路段后熄火，车内2人被困,0.9000,案例抽取导入
EVT_METEO_ROAD,EVT_CASE_987220FC67,引发,CAUSES,004_暴雨天气城市道路积水交通事故_2e78a65f,暴雨天气城市道路积水交通事故,另有3辆车辆在积水区域抛锚,0.8500,案例抽取导入
EVT_METEO_ROAD,EVT_CASE_56854778B2,引发,CAUSES,004_暴雨天气城市道路积水交通事故_2e78a65f,暴雨天气城市道路积水交通事故,道路通行陷入瘫痪,0.8500,案例抽取导入
EVT_CASE_C003971FA8,MEA_CASE_B04D39E895,触发,TRIGGERS,005_高速公路危化品车起火爆燃事故_13d4651b,高速公路危化品车起火爆燃事故,遇明火发生起火爆燃,0.7000,案例抽取导入
EVT_CASE_9CC62EF2EB,MEA_CASE_0B78E0C051,触发,TRIGGERS,006_乡村道路货车侧翻伤人事故_739eb5da,乡村道路货车侧翻伤人事故,因驾驶员超速行驶且操作不当，在弯道处发生侧翻,0.7000,案例抽取导入
EVT_CASE_9CC62EF2EB,EVT_ROAD_INTERRUPTION,引发,CAUSES,006_乡村道路货车侧翻伤人事故_739eb5da,乡村道路货车侧翻伤人事故,货车及建筑材料占用整个道路，导致乡村公路双向交通中断,0.9000,案例抽取导入
MEA_CASE_3C5FBE6A21,RES_CASE_6C085FD5C2,调用,REQUIRES,007_高架道路车辆冲撞护栏坠桥事故_47596a34,高架道路车辆冲撞护栏坠桥事故,车辆失控冲撞高架护栏,0.8500,案例抽取导入
EVT_CASE_C942A70A78,EVT_CASE_51C41B32E7,引发,CAUSES,008_冰雪天气高速公路车辆侧滑碰撞事故_35ff869e,冰雪天气高速公路车辆侧滑碰撞事故,因夜间气温骤降（零下5℃），路面结冰湿滑，一辆大型客车（载有32名乘客）行驶中发生侧滑，与对向车道一辆重型货车发生正面碰撞,0.9500,案例抽取导入
EVT_CASE_AA7B56938D,EVT_HAZMAT_LEAK,引发,CAUSES,009_港口道路危化品运输车倾覆泄漏事故_ace2077d,港口道路危化品运输车倾覆泄漏事故,在转弯时因车速过快、重心不稳发生倾覆，罐体破损导致氢氧化钠溶液泄漏,0.9500,案例抽取导入
MEA_CASE_39D13A1B81,RES_CASE_F1D0288F3D,调用,REQUIRES,009_港口道路危化品运输车倾覆泄漏事故_ace2077d,港口道路危化品运输车倾覆泄漏事故,对泄漏点进行堵漏,0.8000,案例抽取导入
EVT_HAZMAT_LEAK,MEA_CASE_39D13A1B81,触发,TRIGGERS,009_港口道路危化品运输车倾覆泄漏事故_ace2077d,港口道路危化品运输车倾覆泄漏事故,对泄漏点进行堵漏,0.8000,案例抽取导入
EVT_HAZMAT_LEAK,MEA_CASE_87C818ACA4,触发,TRIGGERS,009_港口道路危化品运输车倾覆泄漏事故_ace2077d,港口道路危化品运输车倾覆泄漏事故,环保部门对泄漏区域土壤、水体进行采样监测,0.8000,案例抽取导入
EVT_HAZMAT_LEAK,MEA_CASE_A985295656,触发,TRIGGERS,009_港口道路危化品运输车倾覆泄漏事故_ace2077d,港口道路危化品运输车倾覆泄漏事故,交警部门封闭事故路段，设置警戒区域,0.7500,案例抽取导入
EVT_HAZMAT_LEAK,MEA_CASE_4ED673EE27,触发,TRIGGERS,009_港口道路危化品运输车倾覆泄漏事故_ace2077d,港口道路危化品运输车倾覆泄漏事故,交通部门对路面进行清理和腐蚀修复,0.7500,案例抽取导入
