id:ID,name,entity_type_cn,:LABEL
EVT_ANIMAL_EPIDEMIC,动物疫情,突发事件,PlanEntity;Event
EVT_BIOLOGICAL,生物灾害,突发事件,PlanEntity;Event
EVT_CASE_0133F15C01,轨道卡轨,突发事件,PlanEntity;Event
EVT_CASE_021E7BDA96,施工区域车辆碰撞行人,突发事件,PlanEntity;Event
EVT_CASE_028CA28AE4,车辆拥堵,突发事件,PlanEntity;Event
EVT_CASE_03B7674631,轨道交通碰撞,突发事件,PlanEntity;Event
EVT_CASE_04E49A0DEE,瓷砖散落,突发事件,PlanEntity;Event
EVT_CASE_0803F70AB8,轨道交通入侵,突发事件,PlanEntity;Event
EVT_CASE_080EA8EA9B,隧道拥堵,突发事件,PlanEntity;Event
EVT_CASE_08CBE00F4D,乙醇泄漏,突发事件,PlanEntity;Event
EVT_CASE_091BB1089D,火灾,突发事件,PlanEntity;Event
EVT_CASE_09C02D083D,车辆起火,突发事件,PlanEntity;Event
EVT_CASE_09E6A3AE12,火灾报警,突发事件,PlanEntity;Event
EVT_CASE_0A5C5DEE74,道路交通安全法,突发事件,PlanEntity;Event
EVT_CASE_0B82C87221,山体滑坡掩埋车辆,突发事件,PlanEntity;Event
EVT_CASE_106C22F38E,路面积水,突发事件,PlanEntity;Event
EVT_CASE_15158B7693,滚装船装卸作业中断,突发事件,PlanEntity;Event
EVT_CASE_1D0AC1FCC3,燃爆,突发事件,PlanEntity;Event
EVT_CASE_1FBD75EDDD,强台风,突发事件,PlanEntity;Event
EVT_CASE_204F98C6FB,路面融沉,突发事件,PlanEntity;Event
EVT_CASE_2256F1AD0E,环境污染,突发事件,PlanEntity;Event
EVT_CASE_2266E83C3A,船体倾斜,突发事件,PlanEntity;Event
EVT_CASE_236A5A2A08,电动自行车碰撞行人,突发事件,PlanEntity;Event
EVT_CASE_23ED6DF978,多车追尾引发火灾,突发事件,PlanEntity;Event
EVT_CASE_23EE1D84BC,危化品运输车辆与火车碰撞,突发事件,PlanEntity;Event
EVT_CASE_24BD6E1845,交通瘫痪,突发事件,PlanEntity;Event
EVT_CASE_2688158F89,落石,突发事件,PlanEntity;Event
EVT_CASE_2694273A46,多车追尾,突发事件,PlanEntity;Event
EVT_CASE_297CCEBE80,泥石流阻断交通,突发事件,PlanEntity;Event
EVT_CASE_2A358DF957,道路潮汐淹没车辆被困,突发事件,PlanEntity;Event
