id:ID,name,entity_type_cn,:LABEL
RES_CASE_005A718E70,重型集装箱半挂车,应急资源,PlanEntity;Resource
MEA_CASE_B8E6D970FB,现场处置,措施,PlanEntity;Action
EVT_CASE_03B7674631,轨道交通碰撞,突发事件,PlanEntity;Event
RES_CASE_5BCE950EDA,有轨电车,应急资源,PlanEntity;Resource
EVT_CASE_CD00FFB7BC,高原缺氧致驾驶员昏迷车辆失控,突发事件,PlanEntity;Event
EVT_CASE_3608E528C9,驾驶员昏迷,突发事件,PlanEntity;Event
MEA_CASE_E0D63B2EA6,匝道倒车,措施,PlanEntity;Action
EVT_CASE_09E6A3AE12,火灾报警,突发事件,PlanEntity;Event
MEA_CASE_30604D6C17,违停,措施,PlanEntity;Action
MEA_CASE_18D4FA011E,挪车,措施,PlanEntity;Action
MEA_CASE_BD4F60454A,强制拖移,措施,PlanEntity;Action
RES_CASE_D729373386,挂壁公路,应急资源,PlanEntity;Resource
MEA_CASE_D6EBF96E6B,清理路面落石,措施,PlanEntity;Action
EVT_CASE_40582771C8,制冷剂泄漏,突发事件,PlanEntity;Event
RES_CASE_F90D9B6E29,非机动车道,应急资源,PlanEntity;Resource
MEA_CASE_46E14B4BB4,占道卸车,措施,PlanEntity;Action
EVT_CASE_3756E1200B,浮桥倾斜,突发事件,PlanEntity;Event
RES_CASE_2A142E9A69,浮桥,应急资源,PlanEntity;Resource
MEA_CASE_C2E598DB69,倾斜,措施,PlanEntity;Action
MEA_CASE_32129FD3F2,警戒区域设置,措施,PlanEntity;Action
MEA_CASE_ED8D32FC48,人员转移,措施,PlanEntity;Action
MEA_CASE_F96A8C6D8D,临时加固,措施,PlanEntity;Action
EVT_CASE_37895FE5E4,车辆坠坑,突发事件,PlanEntity;Event
RES_CASE_6619311C3D,渣土车,应急资源,PlanEntity;Resource
MEA_CASE_E4110A4832,交通封闭,措施,PlanEntity;Action
EVT_CASE_6FEAAF025A,坍塌风险,突发事件,PlanEntity;Event
EVT_CASE_2B0A8CF519,卧路牧群,突发事件,PlanEntity;Event
EVT_CASE_5104EF7457,新能源汽车电池热失控,突发事件,PlanEntity;Event
EVT_CASE_9D52E07713,油罐车卸油起火,突发事件,PlanEntity;Event
RES_CASE_DED5DD2F83,油罐车,应急资源,PlanEntity;Resource
