run_id,run_time,sample_id,group_id,retrieval_mode,agent_mode,enable_review,enable_revision,model_name,latency_ms,input_tokens,output_tokens,total_tokens,approved_like,executability_score,safety_score,constraint_alignment_score,evidence_grounding_score,total_score,rule_total_score,score_backend,llm_judge_enabled,llm_judge_success,llm_judge_weight,llm_judge_model,llm_executability_score,llm_safety_score,llm_compliance_score,llm_overall_score,llm_judge_reason,llm_judge_error,constraint_coverage,critical_miss_rate,has_forbidden_action,critical_action_missed,missing_actions_count,violated_constraints_count,evidence_hit_count,notes
R20260410202055,2026-04-10T20:20:55,S007,G5,dual,multi_with_review,1,1,gemma-3-27b-it,73271,0,0,0,1,0.9,0.95,1.0,0.8,0.9,0.9,llm,1,1,0.6,xopdeepseekv32,0.9,0.85,0.95,0.9,方案步骤清晰具体，各职责部门明确，可执行性强。考虑了夜间照明、车辆固定等安全措施，但分流疏导细节不足。方案符合法律法规和应急预案要求。,,1.0,0.0,0,0,0,0,2,方案整体清晰、可执行，并考虑了安全和合规性。步骤较为合理，资源需求明确。但方案在疏导细节和后续影响评估方面略有不足。
R20260410125220,2026-04-10T12:52:20,S032,G5,dual,multi_with_review,1,1,gemma-3-27b-it,138070,0,0,0,1,0.85,0.75,0.9,0.7,0.87,0.8,llm,1,1,0.6,xopdeepseekv32,0.8,0.9,0.9,0.87,方案步骤明确，分工合理，符合法规。但存在步骤重复，对溜车根本原因（如制动失效）的评估和预防措施未提及，安全评估稍显不足。,,0.9,0.0,0,0,0,0,1,方案整体可执行性较强，符合法规要求，并考虑了人员救助、现场安全和事故调查。但方案在安全方面存在一定提升空间，例如对溜车原因的分析和预防措施不足，以及对周边环境潜在风险的评估不够全面。重复步骤较多。
R20260410182043,2026-04-10T18:20:43,S033,G5,dual,multi_with_review,1,1,gemma-3-27b-it,73040,0,0,0,1,0.85,0.75,0.9,0.7,0.8,0.8,llm,1,1,0.6,xopdeepseekv32,0.8,0.7,0.9,0.8,方案步骤清晰完整，职责明确，可操作性强。安全控制方面，对围观群众的疏散仅提及“引导”，措施不够具体；且未明确评估货车本身是否稳定，存在新风险隐患。方案符合相关法律法规和预案要求。,,0.9,0.0,0,0,0,0,1,方案整体清晰，步骤合理，基本覆盖了事故处理的必要环节，并考虑了交通疏导和伤员救助。但方案在安全风险控制方面略有不足，例如对围观群众的疏散仅提及“引导”，缺乏更具体的措施。方案符合相关法律法规和应急预案要求。
R20260410182043,2026-04-10T18:20:43,S041,G5,dual,multi_with_review,1,1,gemma-3-27b-it,87351,0,0,0,1,0.85,0.75,0.8,0.7,0.8,0.78,llm,1,1,0.6,xopdeepseekv32,0.8,0.7,0.9,0.8,方案步骤完整清晰，职责明确，符合法规流程。但对宠物的处置（“寻找逃逸宠物”）步骤可执行性不足，存在人员安全和二次事故的隐患，具体操作和风险控制需细化。,,0.8,0.0,0,0,0,0,2,方案整体清晰，步骤合理，符合交通应急处理的基本流程。考虑到了现场封锁、交通疏导、车辆处置、宠物寻找等关键环节，并明确了所需资源和法律依据。但方案在宠物寻找和风险控制方面略有不足，可能存在安全隐患。
R20260410182043,2026-04-10T18:20:43,S053,G5,dual,multi_with_review,1,1,gemma-3-27b-it,106502,0,0,0,1,0.9,0.95,0.9,0.7,0.92,0.86,llm,1,1,0.6,xopdeepseekv32,0.9,0.9,0.95,0.92,方案步骤具体完整，职责明确，考虑了现场控制、伤员救助、疏导清理、原因调查和后期监管，符合法规和预案要求。个别步骤（如第5、6条）表述略有交叉，但可执行性高。,,0.9,0.0,0,0,0,0,1,方案整体较为完整，步骤清晰，覆盖了现场控制、伤员救助、交通疏导、责任调查和后续监管等关键环节。符合相关法律法规和应急预案要求。但部分步骤可以更精简，避免重复劳动。
R20260410125220,2026-04-10T12:52:20,S063,G5,dual,multi_with_review,1,1,gemma-3-27b-it,160342,0,0,0,1,0.9,0.95,0.9,0.8,0.83,0.88,llm,1,1,0.6,xopdeepseekv32,0.8,0.8,0.9,0.83,方案步骤清晰、可执行，覆盖了疏导、处罚、学生安全、事故处理、分流和防护等关键环节，符合应急流程。但违停处罚力度描述不足，应急医疗力量待命可能资源利用效率待提高，总体上符合法规且安全措施较全面。,,0.9,0.0,0,0,0,0,2,方案整体清晰、可执行，并考虑到了学生安全和交通疏导。措施较为全面，符合相关法律法规和应急预案要求。但方案在分流预案启动时机上略有不足，且对违停处罚的力度描述不够明确。
R20260410125220,2026-04-10T12:52:20,S090,G5,dual,multi_with_review,1,1,gemma-3-27b-it,174950,0,0,0,1,0.9,1.0,1.0,0.8,0.84,0.9,llm,1,1,0.6,xopdeepseekv32,0.78,0.85,0.9,0.84,方案步骤清晰完整，可操作性强，但少量步骤描述不够具体，如“快速处理”缺乏明确标准。方案充分考虑了现场警戒、疏导、信息发布和路况监控，有效控制了事故点风险并预防二次事故。方案紧密依据《道路交通事故处理程序规定》和地方预案，合规性高。,,1.0,0.0,0,0,0,0,1,方案整体清晰、可执行，并考虑了安全和合规性。针对轻微追尾事故，侧重于快速处置和疏导交通，避免拥堵扩大，符合应急响应原则。但方案略微缺乏对事故原因的分析，以及对后续潜在风险的预判。
R20260410182043,2026-04-10T18:20:43,S091,G5,dual,multi_with_review,1,1,gemma-3-27b-it,88827,0,0,0,1,0.9,0.9,0.9,0.8,0.9,0.88,llm,1,1,0.6,xopdeepseekv32,0.9,0.9,0.9,0.9,方案步骤清晰、完整、可执行，资源配置合理。充分考虑了现场安全防护和风险控制，符合相关法规和预案要求，应急联动流程顺畅。,,0.9,0.0,0,0,0,0,2,方案整体清晰、可执行，并考虑了安全和合规性。步骤较为完整，资源配置合理。但方案在三角警示牌放置的引导上存在一定风险，且未明确预警等级对应的具体行动细节。
R20260410182043,2026-04-10T18:20:43,S092,G5,dual,multi_with_review,1,1,gemma-3-27b-it,74710,0,0,0,1,0.9,1.0,1.0,0.7,0.86,0.9,llm,1,1,0.6,xopdeepseekv32,0.85,0.85,0.9,0.86,方案步骤清晰具体，分工明确，符合法规与预案要求。但对作业人员及驾驶员在警戒区内的安全防护措施未做说明，对散落物清理后可能存在的路面湿滑、纸屑残留等后续风险考虑不足。,,1.0,0.0,0,0,0,0,2,方案整体清晰、可执行，并覆盖了事件处理的主要环节。方案符合相关法规，并考虑了二次事故的预防。但方案在风险评估和细节处理上仍有提升空间，例如对环境卫生处理的细化程度不足。
R20260410125220,2026-04-10T12:52:20,S093,G5,dual,multi_with_review,1,1,gemma-3-27b-it,174676,0,0,0,1,0.85,0.9,0.8,0.6,0.8,0.79,llm,1,1,0.6,xopdeepseekv32,0.9,0.8,0.7,0.8,方案步骤具体完整，可执行性高。安全措施考虑现场秩序维护与伤员安抚。但对轻微事故风险管控稍显过度（如扩大警戒区），且法规引用宽泛，未结合事故特征细化引用，合规性有提升空间。,,0.8,0.0,0,0,0,0,1,方案整体可执行性较强，安全措施到位，但对法规引用略显宽泛，且部分步骤可以更精简。方案基本覆盖了轻微碰撞事件的处置流程，考虑到了现场秩序维护和人员安抚，但缺乏对电动自行车合规性的检查，以及对小区物业的联动。
