:START_ID,:END_ID,relation_cn,:TYPE
EVT_NATURAL_DISASTER,EVT_ROAD_EMERGENCY,引发,CAUSES
EVT_PRODUCTION_ACCIDENT,EVT_ROAD_EMERGENCY,引发,CAUSES
EVT_PUBLIC_HEALTH,EVT_ROAD_EMERGENCY,引发,CAUSES
EVT_SOCIAL_SECURITY,EVT_ROAD_EMERGENCY,引发,CAUSES
EVT_ENVIRONMENT,EVT_ROAD_EMERGENCY,引发,CAUSES
EVT_EMERGENCY_MATERIAL_TRANSPORT,EVT_ROAD_EMERGENCY,引发,CAUSES
EVT_FLOOD_DROUGHT,EVT_NATURAL_DISASTER,引发,CAUSES
EVT_METEOROLOGICAL,EVT_NATURAL_DISASTER,引发,CAUSES
EVT_EARTHQUAKE,EVT_NATURAL_DISASTER,引发,CAUSES
EVT_GEOLOGICAL,EVT_NATURAL_DISASTER,引发,CAUSES
EVT_MARINE,EVT_NATURAL_DISASTER,引发,CAUSES
EVT_BIOLOGICAL,EVT_NATURAL_DISASTER,引发,CAUSES
EVT_FOREST_GRASS_FIRE,EVT_NATURAL_DISASTER,引发,CAUSES
EVT_TRAFFIC_ACCIDENT,EVT_PRODUCTION_ACCIDENT,引发,CAUSES
EVT_CONSTRUCTION_ACCIDENT,EVT_PRODUCTION_ACCIDENT,引发,CAUSES
EVT_HAZMAT_ACCIDENT,EVT_PRODUCTION_ACCIDENT,引发,CAUSES
EVT_INFECTIOUS_DISEASE,EVT_PUBLIC_HEALTH,引发,CAUSES
EVT_UNKNOWN_DISEASE,EVT_PUBLIC_HEALTH,引发,CAUSES
EVT_FOOD_OCCUPATIONAL,EVT_PUBLIC_HEALTH,引发,CAUSES
EVT_ANIMAL_EPIDEMIC,EVT_PUBLIC_HEALTH,引发,CAUSES
EVT_TERROR_ATTACK,EVT_SOCIAL_SECURITY,引发,CAUSES
EVT_ECONOMIC_SECURITY,EVT_SOCIAL_SECURITY,引发,CAUSES
EVT_FOREIGN_RELATED,EVT_SOCIAL_SECURITY,引发,CAUSES
EVT_FLOOD,EVT_FLOOD_DROUGHT,引发,CAUSES
