:START_ID,:END_ID,relation_cn,:TYPE,case_id,case_title,evidence,confidence,source
EVT_CASE_B9F0C9D9AC,MEA_CASE_80354268E0,触发,TRIGGERS,001_跨境口岸通关货车刹车失灵冲撞闸口事故_bc22335d,跨境口岸通关货车刹车失灵冲撞闸口事故,因长下坡刹车过热失灵,0.6200,案例抽取导入
MEA_CASE_7880553438,ORG_CASE_C08151231F,实施主体,IMPLEMENTED_BY,002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e,城市开放道路自动驾驶测试车失控冲撞事故,交警部门立即封锁事故现场,0.9000,案例抽取导入
MEA_CASE_96C3E54EF1,ORG_CASE_C08151231F,实施主体,IMPLEMENTED_BY,002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e,城市开放道路自动驾驶测试车失控冲撞事故,交警部门立即疏散围观群众,0.9000,案例抽取导入
MEA_CASE_C5E66BF637,ORG_CASE_58D13C3595,实施主体,IMPLEMENTED_BY,002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e,城市开放道路自动驾驶测试车失控冲撞事故,医疗部门派遣救护车转运受伤人员至医院,0.9000,案例抽取导入
MEA_CASE_81A3AA00B6,ORG_CASE_D7C9B35C28,实施主体,IMPLEMENTED_BY,002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e,城市开放道路自动驾驶测试车失控冲撞事故,自动驾驶测试企业立即暂停所有道路测试,0.9000,案例抽取导入
MEA_CASE_462CC5958C,ORG_CASE_095104B964,实施主体,IMPLEMENTED_BY,002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e,城市开放道路自动驾驶测试车失控冲撞事故,城管部门协助清理现场,0.9000,案例抽取导入
EVT_CASE_72972C0FC7,MEA_CASE_F46EBF6CE5,触发,TRIGGERS,003_房车营地周边临水道路车辆坠湖事故_5d5046b2,房车营地周边临水道路车辆坠湖事故,因驾驶员对车身宽度判断失误,0.6200,案例抽取导入
EVT_CASE_7B95449186,EVT_ROAD_INTERRUPTION,引发,CAUSES,005_山区水上浮桥重载货车坠河事故_b6cf7837,山区水上浮桥重载货车坠河事故,货车连同桥面一同坠入约8米深的河流中，浮桥双向通行完全中断,0.9500,案例抽取导入
EVT_CASE_7B95449186,EVT_CASE_E70C4DE1FA,引发,CAUSES,005_山区水上浮桥重载货车坠河事故_b6cf7837,山区水上浮桥重载货车坠河事故,货车漏油可能造成河水污染,0.7500,案例抽取导入
EVT_CASE_42AEE3CEDE,EVT_CASE_8B7F0B5FB2,引发,CAUSES,006_矿山专用道路矿车刹车失灵冲撞事故_ebcf86b0,矿山专用道路矿车刹车失灵冲撞事故,车辆失控高速冲向矿山选矿厂厂区,0.9000,案例抽取导入
