source,source_temp_id,source_final_id,source_final_name,source_query_event_ids,relation,target,target_temp_id,target_final_id,target_final_name,target_query_event_ids,case_id,case_title,source_type,target_type,confidence,evidence,source_file,review_status
团雾,TMP_EVEN_5411CD489A,EVT_CASE_B9F7125E79,团雾,EVT_CASE_B9F7125E79,CAUSES,追尾事故,TMP_EVEN_1B9DE19064,EVT_CASE_4D219D5D07,追尾事故,EVT_CASE_4D219D5D07|EVT_TRAFFIC_ACCIDENT|EVT_VEHICLE_BACKLOG,001_京港澳高速漯河段多车连环追尾事故_e0fe5421,京港澳高速漯河段多车连环追尾事故,Event,Event,0.9500,因突发团雾导致能见度不足50米，一辆重型半挂牵引车与前方3辆小型轿车、2辆轻型货车发生连环追尾,交通应急处理案例.txt,AUTO_HIGH
追尾事故,TMP_EVEN_1B9DE19064,EVT_CASE_4D219D5D07,追尾事故,EVT_CASE_4D219D5D07|EVT_TRAFFIC_ACCIDENT|EVT_VEHICLE_BACKLOG,CAUSES,交通中断,TMP_EVEN_CD3E5951BE,EVT_CASE_436A2F6617,交通中断,EVT_CASE_436A2F6617,001_京港澳高速漯河段多车连环追尾事故_e0fe5421,京港澳高速漯河段多车连环追尾事故,Event,Event,0.8500,事故路段双向交通完全中断,交通应急处理案例.txt,AUTO_HIGH
追尾事故,TMP_EVEN_1B9DE19064,EVT_CASE_4D219D5D07,追尾事故,EVT_CASE_4D219D5D07|EVT_TRAFFIC_ACCIDENT|EVT_VEHICLE_BACKLOG,CAUSES,车辆滞留,TMP_EVEN_7F1A7FDC3B,EVT_CASE_3B6CFC25B4,车辆滞留,EVT_CASE_3B6CFC25B4,001_京港澳高速漯河段多车连环追尾事故_e0fe5421,京港澳高速漯河段多车连环追尾事故,Event,Event,0.8000,后方车辆滞留约8公里,交通应急处理案例.txt,AUTO_MEDIUM
追尾事故,TMP_EVEN_D8AE301AF1,EVT_CASE_4D219D5D07,追尾事故,EVT_CASE_4D219D5D07,CAUSES,危化品泄漏,TMP_EVEN_03AE7FF47D,EVT_HAZMAT_LEAK,危险化学品运输泄漏事件,EVT_HAZMAT_LEAK|EVT_HAZMAT_ACCIDENT|EVT_TRAFFIC_ACCIDENT,002_城市隧道内危化品车追尾泄漏事故_1606f9a2,城市隧道内危化品车追尾泄漏事故,Event,Event,0.9500,与前方一辆私家车发生追尾，导致危化品运输车罐体破损，柴油持续泄漏,交通应急处理案例.txt,AUTO_HIGH
追尾事故,TMP_EVEN_D8AE301AF1,EVT_CASE_4D219D5D07,追尾事故,EVT_CASE_4D219D5D07,CAUSES,隧道通风系统受损,TMP_EVEN_8B9AF47555,EVT_CASE_27A1F93878,隧道通风系统受损,EVT_CASE_27A1F93878,002_城市隧道内危化品车追尾泄漏事故_1606f9a2,城市隧道内危化品车追尾泄漏事故,Event,Event,0.8500,隧道内弥漫大量可燃蒸汽，且隧道通风系统因碰撞受损无法正常运行。,交通应急处理案例.txt,AUTO_HIGH
强降雨,TMP_EVEN_80D103F760,EVT_RAINSTORM,暴雨,EVT_RAINSTORM,CAUSES,桥梁坍塌,TMP_EVEN_853591047E,EVT_MAJOR_BRIDGE_ACCIDENT,特大桥梁安全事故,EVT_MAJOR_BRIDGE_ACCIDENT|EVT_ROAD_DAMAGE|EVT_ROAD_INTERRUPTION,003_山区公路桥梁坍塌事故_55111111,山区公路桥梁坍塌事故,Event,Event,0.9500,因连续强降雨导致桥梁基础冲刷受损，一辆中型客车（载有18名乘客）行驶至桥梁中段时，桥梁突然发生部分坍塌,交通应急处理案例.txt,AUTO_HIGH
桥梁坍塌,TMP_EVEN_853591047E,EVT_MAJOR_BRIDGE_ACCIDENT,特大桥梁安全事故,EVT_MAJOR_BRIDGE_ACCIDENT|EVT_ROAD_DAMAGE|EVT_ROAD_INTERRUPTION,TRIGGERS,洪水预警,TMP_ACTI_67C919959C,MEA_CASE_B0EFDFCDBD,洪水预警,,003_山区公路桥梁坍塌事故_55111111,山区公路桥梁坍塌事故,Event,Action,0.7500,强降雨持续导致桥梁剩余部分有进一步坍塌风险，可能引发坠车、人员落水等次生事故；水利部门监测河流水位变化，及时发布洪水预警,交通应急处理案例.txt,AUTO_MEDIUM
暴雨,TMP_EVEN_DD50C1C54D,EVT_RAINSTORM,暴雨,EVT_RAINSTORM,CAUSES,道路积水,TMP_EVEN_F6C7C8B9D6,EVT_METEO_ROAD,公路气象灾害,EVT_METEO_ROAD|EVT_ROAD_EMERGENCY|EVT_RAINSTORM,004_暴雨天气城市道路积水交通事故_2e78a65f,暴雨天气城市道路积水交通事故,Event,Event,0.9500,因突发特大暴雨（1小时降雨量达80毫米），导致道路严重积水,交通应急处理案例.txt,AUTO_HIGH
道路积水,TMP_EVEN_F6C7C8B9D6,EVT_METEO_ROAD,公路气象灾害,EVT_METEO_ROAD|EVT_ROAD_EMERGENCY|EVT_RAINSTORM,CAUSES,车辆被困,TMP_EVEN_3CB0497357,EVT_CASE_76C2F46F5E,车辆被困,EVT_CASE_76C2F46F5E,004_暴雨天气城市道路积水交通事故_2e78a65f,暴雨天气城市道路积水交通事故,Event,Event,0.9000,一辆小型轿车不慎驶入积水路段后熄火，车内2人被困,交通应急处理案例.txt,AUTO_HIGH
道路积水,TMP_EVEN_F6C7C8B9D6,EVT_METEO_ROAD,公路气象灾害,EVT_METEO_ROAD|EVT_ROAD_EMERGENCY|EVT_RAINSTORM,CAUSES,车辆抛锚,TMP_EVEN_771977C68D,EVT_CASE_987220FC67,车辆抛锚,EVT_CASE_987220FC67,004_暴雨天气城市道路积水交通事故_2e78a65f,暴雨天气城市道路积水交通事故,Event,Event,0.8500,另有3辆车辆在积水区域抛锚,交通应急处理案例.txt,AUTO_HIGH
