case_id,case_title,source_file,entity_temp_id,entity_name,entity_type,resolution_type,final_entity_id,final_entity_name,is_new_entity,primary_event_id,primary_event_name,expanded_event_ids,expanded_event_names,query_event_ids,query_event_names,alias_patch_target_ids,alias_patch_target_names,normalized_id,normalized_name,normalized_score,matched_alias,extraction_confidence,evidence,review_status
001_跨境口岸通关货车刹车失灵冲撞闸口事故_bc22335d,跨境口岸通关货车刹车失灵冲撞闸口事故,交通应急处理案例6.txt,TMP_EVEN_9EF1F8D73F,车辆冲撞,Event,new_event_with_expansions,EVT_CASE_B9F0C9D9AC,货车冲撞口岸,true,EVT_CASE_B9F0C9D9AC,货车冲撞口岸,EVT_ROAD_DAMAGE|EVT_ROAD_INTERRUPTION,公路损毁|公路中断,EVT_CASE_B9F0C9D9AC|EVT_ROAD_DAMAGE|EVT_ROAD_INTERRUPTION,货车冲撞口岸|公路损毁|公路中断,EVT_ROAD_DAMAGE|EVT_ROAD_INTERRUPTION,公路损毁|公路中断,,,0.0000,,0.9000,一辆满载进口货物的重型半挂货车，因长下坡刹车过热失灵，冲撞口岸入境闸口,REVIEW_REQUIRED
001_跨境口岸通关货车刹车失灵冲撞闸口事故_bc22335d,跨境口岸通关货车刹车失灵冲撞闸口事故,交通应急处理案例6.txt,TMP_ACTI_1C0A3F70E5,刹车失灵,Action,existing_match,MEA_CASE_80354268E0,刹车失灵,false,,,,,,,,,MEA_CASE_80354268E0,刹车失灵,1.0000,刹车失灵,0.8500,因长下坡刹车过热失灵,AUTO_HIGH
002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e,城市开放道路自动驾驶测试车失控冲撞事故,交通应急处理案例6.txt,TMP_EVEN_1DC78D643B,自动驾驶车辆碰撞,Event,new_event_with_expansions,EVT_CASE_C5AE31900F,自动驾驶车辆碰撞,true,EVT_CASE_C5AE31900F,自动驾驶车辆碰撞,EVT_PRODUCTION_ACCIDENT|EVT_ROAD_DAMAGE,公路交通运输生产事故|公路损毁,EVT_CASE_C5AE31900F|EVT_PRODUCTION_ACCIDENT|EVT_ROAD_DAMAGE,自动驾驶车辆碰撞|公路交通运输生产事故|公路损毁,EVT_PRODUCTION_ACCIDENT|EVT_ROAD_DAMAGE,公路交通运输生产事故|公路损毁,,,0.0000,,0.9000,一辆搭载L4级自动驾驶系统的测试车辆，在路口直行时系统突发故障，无视红灯信号，高速冲撞路口正常等待的非机动车队列，接连撞倒3辆电动自行车、2辆共享单车，车辆撞上路边护栏后停下。,REVIEW_REQUIRED
002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e,城市开放道路自动驾驶测试车失控冲撞事故,交通应急处理案例6.txt,TMP_DEPA_1B702136E1,交警部门,Department,existing_match,ORG_CASE_C08151231F,交警部门,false,,,,,,,,,ORG_CASE_C08151231F,交警部门,1.0000,交警部门,0.9000,交警部门立即封锁事故现场,AUTO_HIGH
002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e,城市开放道路自动驾驶测试车失控冲撞事故,交通应急处理案例6.txt,TMP_DEPA_A54203703C,医疗部门,Department,existing_match,ORG_CASE_58D13C3595,医疗部门,false,,,,,,,,,ORG_CASE_58D13C3595,医疗部门,1.0000,医疗部门,0.9000,医疗部门派遣救护车,AUTO_HIGH
002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e,城市开放道路自动驾驶测试车失控冲撞事故,交通应急处理案例6.txt,TMP_DEPA_CB588F0C8C,自动驾驶测试企业,Department,new_entity,ORG_CASE_D7C9B35C28,自动驾驶测试企业,true,,,,,,,,,,,0.2643,,0.9000,自动驾驶测试企业立即暂停所有道路测试,REVIEW_REQUIRED
002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e,城市开放道路自动驾驶测试车失控冲撞事故,交通应急处理案例6.txt,TMP_DEPA_AFEF7C64FA,城管部门,Department,existing_match,ORG_CASE_095104B964,城管部门,false,,,,,,,,,ORG_CASE_095104B964,城管部门,1.0000,城管部门,0.9000,城管部门协助清理现场,AUTO_HIGH
002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e,城市开放道路自动驾驶测试车失控冲撞事故,交通应急处理案例6.txt,TMP_ACTI_C7B7112E1A,封锁现场,Action,existing_match,MEA_CASE_7880553438,封锁现场,false,,,,,,,,,MEA_CASE_7880553438,封锁现场,1.0000,封锁现场,0.8000,交警部门立即封锁事故现场,AUTO_HIGH
002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e,城市开放道路自动驾驶测试车失控冲撞事故,交通应急处理案例6.txt,TMP_ACTI_5B4DA9D0D7,疏散群众,Action,existing_match,MEA_CASE_96C3E54EF1,疏散群众,false,,,,,,,,,MEA_CASE_96C3E54EF1,疏散群众,1.0000,疏散群众,0.8000,疏散围观群众,AUTO_HIGH
002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e,城市开放道路自动驾驶测试车失控冲撞事故,交通应急处理案例6.txt,TMP_ACTI_4178CCCB67,转运人员,Action,new_entity,MEA_CASE_C5E66BF637,转运人员,true,,,,,,,,,,,0.8667,,0.8000,医疗部门派遣救护车转运受伤人员,AUTO_HIGH
002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e,城市开放道路自动驾驶测试车失控冲撞事故,交通应急处理案例6.txt,TMP_ACTI_B42652383E,暂停测试,Action,new_entity,MEA_CASE_81A3AA00B6,暂停测试,true,,,,,,,,,,,0.3533,,0.8000,自动驾驶测试企业立即暂停所有道路测试,REVIEW_REQUIRED
002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e,城市开放道路自动驾驶测试车失控冲撞事故,交通应急处理案例6.txt,TMP_ACTI_24B91DFA11,清理现场,Action,existing_match,MEA_CASE_462CC5958C,清理现场,false,,,,,,,,,MEA_CASE_462CC5958C,清理现场,1.0000,清理现场,0.8000,城管部门协助清理现场,AUTO_HIGH
003_房车营地周边临水道路车辆坠湖事故_5d5046b2,房车营地周边临水道路车辆坠湖事故,交通应急处理案例6.txt,TMP_EVEN_2927C2F3E6,车辆坠湖,Event,new_event_with_expansions,EVT_CASE_72972C0FC7,车辆坠湖,true,EVT_CASE_72972C0FC7,车辆坠湖,EVT_TRAFFIC_ACCIDENT,交通事故,EVT_CASE_72972C0FC7|EVT_TRAFFIC_ACCIDENT,车辆坠湖|交通事故,EVT_TRAFFIC_ACCIDENT,交通事故,,,0.0000,,0.9000,一辆自行式房车行驶中，因驾驶员对车身宽度判断失误，会车时冲出无防护栏的临水路面，坠入约4米深的湖水中,REVIEW_REQUIRED
003_房车营地周边临水道路车辆坠湖事故_5d5046b2,房车营地周边临水道路车辆坠湖事故,交通应急处理案例6.txt,TMP_ACTI_47087927F4,驾驶员对车身宽度判断失误,Action,new_entity,MEA_CASE_F46EBF6CE5,驾驶员对车身宽度判断失误,true,,,,,,,,,,,0.3372,,0.8000,因驾驶员对车身宽度判断失误,REVIEW_REQUIRED
004_城市马拉松赛事管制路段社会车辆闯入事故_377921af,城市马拉松赛事管制路段社会车辆闯入事故,交通应急处理案例6.txt,TMP_EVEN_A434D2AE2D,车辆闯入赛道,Event,alias_match_with_expansions,EVT_ROAD_EMERGENCY,公路交通突发事件,false,EVT_ROAD_EMERGENCY,公路交通突发事件,EVT_TRAFFIC_ACCIDENT,交通事故,EVT_ROAD_EMERGENCY|EVT_TRAFFIC_ACCIDENT,公路交通突发事件|交通事故,,,EVT_ROAD_EMERGENCY,公路交通突发事件,0.0000,公路交通突发事件,0.9000,一辆小型私家车无视管制禁令、冲破隔离围挡，闯入马拉松赛事赛道,REVIEW_REQUIRED
