run_id,run_time,sample_id,group_id,retrieval_mode,agent_mode,enable_review,enable_revision,model_name,latency_ms,input_tokens,output_tokens,total_tokens,approved_like,executability_score,safety_score,constraint_alignment_score,evidence_grounding_score,total_score,rule_total_score,score_backend,llm_judge_enabled,llm_judge_success,llm_judge_weight,llm_judge_model,llm_executability_score,llm_safety_score,llm_compliance_score,llm_overall_score,llm_judge_reason,llm_judge_error,constraint_coverage,critical_miss_rate,has_forbidden_action,critical_action_missed,missing_actions_count,violated_constraints_count,evidence_hit_count,notes
R20260410151102,2026-04-10T15:11:02,S001,G5,dual,multi_with_review,1,1,gemma-3-27b-it,114975,0,0,0,1,0.9,0.8,1.0,0.8,0.88,0.88,llm,1,1,0.6,xopdeepseekv32,0.9,0.8,0.95,0.88,方案步骤完整具体，时间要求明确，符合法规和预案。但对轻微火灾、团雾持续影响及二次事故风险控制不够细致，如未明确伤员分类标准及火场后续监测。,,1.0,0.0,0,0,0,0,2,方案整体清晰，步骤合理，符合应急响应流程。但安全方面考虑不够细致，疏导方案缺乏具体细节，可能存在安全隐患。方案符合相关法律法规和应急预案要求。
R20260410151102,2026-04-10T15:11:02,S002,G5,dual,multi_with_review,1,1,gemma-3-27b-it,109344,0,0,0,1,0.85,0.75,0.9,0.7,0.9,0.89,llm,1,1,0.6,xopdeepseekv32,0.9,0.8,1.0,0.9,方案步骤具体完整，职责明确，可执行性强。安全方面对核心风险（泄漏、可燃蒸汽、救援）有应对，但未提及被困驾驶员在可燃蒸汽环境中的具体防护细节。方案符合各项法律法规和应急预案。,,0.9,0.0,0,0,0,0,1,方案整体较为完整，考虑了疏散、封锁、灭火、救援、环境评估、原因调查、交通恢复等关键环节，并明确了所需资源和法律依据。但安全方面存在可燃蒸汽浓度控制的潜在风险，以及对隧道内人员疏散的细节描述不足。方案符合相关法规，可执行性较强。
R20260410151102,2026-04-10T15:11:02,S003,G5,dual,multi_with_review,1,1,gemma-3-27b-it,110398,0,0,0,1,0.9,0.95,0.9,0.7,0.9,0.86,llm,1,1,0.6,xopdeepseekv32,0.85,0.9,0.95,0.9,方案步骤清晰完整，可操作性强，未发现口号式表述。对桥梁稳定、客车固定、次生灾害等风险均有针对性措施。步骤符合相关法律及应急响应流程。,,0.9,0.0,0,0,0,0,1,方案整体较为完整，考虑了救援、安全、交通管制和后续处置等多个方面，步骤清晰，资源需求明确，符合相关法律法规和应急预案要求。但方案在桥梁评估和次生灾害预防方面可以更加细化，且对人员安置的细节描述不足。
R20260410151102,2026-04-10T15:11:02,S006,G5,dual,multi_with_review,1,1,gemma-3-27b-it,120554,0,0,0,1,0.9,0.85,0.9,0.8,0.85,0.86,llm,1,1,0.6,xopdeepseekv32,0.85,0.8,0.9,0.85,方案步骤清晰完整，职责分工明确，可执行性高。对火势、泄漏和环境风险进行了基本控制，但应对高火焰乙醇爆燃和持续二次风险的具体技战术措施略抽象。整体合规性良好，引用了相关预案和法规。,,0.9,0.0,0,0,0,0,2,方案整体较为完整，考虑了现场控制、灭火、环境处理、疏导和后期恢复等关键环节，符合应急预案的要求。但安全方面仍有提升空间，例如对二次爆燃风险的控制措施描述不够具体。方案在合规性方面表现良好，引用了相关法律法规和预案。
R20260410151102,2026-04-10T15:11:02,S011,G5,dual,multi_with_review,1,1,gemma-3-27b-it,105102,0,0,0,1,0.8,0.7,0.9,0.8,0.9,0.88,llm,1,1,0.6,xopdeepseekv32,0.9,0.8,1.0,0.9,方案步骤具体完整，多部门职责清晰，可执行性强。参考类似案例，方案缺少对受威胁农田和村庄人员的明确疏散措施，安全考虑稍显不足。完全符合相关法律法规和预案要求。,,0.9,0.0,0,0,1,0,2,方案基本合理，覆盖了事故处理的主要环节，并考虑了多部门联动。但安全方面略有不足，缺少对逆行私家车驾驶员责任的调查和处理，以及对农田和村庄人员疏散的明确指示。方案符合相关法律法规和应急预案要求。
R20260410151102,2026-04-10T15:11:02,S014,G5,dual,multi_with_review,1,1,gemma-3-27b-it,87252,0,0,0,1,0.85,0.75,0.9,0.7,0.92,0.87,llm,1,1,0.6,xopdeepseekv32,0.95,0.85,0.95,0.92,方案步骤完整清晰，职责明确，响应与处置流程规范，符合相关法规预案。但对持续暴雨和地质不稳定下的救援环境动态风险评估与安全保障可进一步细化，如救援力量自身防护的具体措施。,,0.9,0.0,0,0,0,0,1,方案整体较为完整，覆盖了应急响应、现场控制、人员疏散、风险评估、救援、恢复等关键环节，并考虑了二次灾害风险。但安全方面存在一定提升空间，例如对周边地下管网的保护措施描述较为笼统，缺乏具体操作细节。方案符合相关法律法规和应急预案要求。
R20260410151102,2026-04-10T15:11:02,S015,G5,dual,multi_with_review,1,1,gemma-3-27b-it,84097,0,0,0,1,0.9,0.95,0.9,0.8,0.95,0.88,llm,1,1,0.6,xopdeepseekv32,0.9,0.85,0.95,0.95,方案步骤清晰完整，可执行性强，覆盖了警戒、灭火、搜救、救治、风险防控等关键环节，符合相关法规与预案。但对救援人员高风险作业的具体安全措施可更细化。,,0.9,0.0,0,0,0,0,2,方案整体较为清晰，步骤合理，覆盖了事故处置的关键环节，并考虑了次生灾害的预防。但在安全评估和资源调配方面仍有提升空间。方案符合相关法律法规和应急预案的要求。
R20260410151102,2026-04-10T15:11:02,S016,G5,dual,multi_with_review,1,1,gemma-3-27b-it,93526,0,0,0,1,0.85,0.95,0.9,0.7,0.86,0.85,llm,1,1,0.6,xopdeepseekv32,0.75,0.85,0.9,0.86,方案步骤清晰，覆盖救援、警戒、疏散、监测、交通、调查等关键环节，可执行性较好。安全措施针对泄漏、爆炸、环境风险等控制充分。依据多部法规预案，合规性强。个别步骤可进一步细化资源调配与分工。,,0.9,0.0,0,0,0,0,1,方案整体较为完整，考虑了事故的多个方面，并给出了较为具体的行动步骤。在安全性方面，方案强调了堵漏、监测、疏散等关键措施，有效控制了二次爆炸风险。但在可执行性方面，部分步骤缺乏明确的责任分工和时间节点，以及对资源调配的细节描述。合规性方面，方案引用了相关法律法规和预案，但未明确具体条款。
R20260410151102,2026-04-10T15:11:02,S019,G5,dual,multi_with_review,1,1,gemma-3-27b-it,78072,0,0,0,1,0.9,0.95,0.9,0.7,0.84,0.86,llm,1,1,0.6,xopdeepseekv32,0.65,0.6,0.9,0.84,方案步骤完整，具备可执行性，但具体执行细节如‘组织人员’的责任主体不明确。安全控制措施考虑了踩踏风险，但对电动车驾驶员的控制描述不够具体。方案遵守了相关法律法规和应急预案的要求，合规性较好。,,0.9,0.0,0,0,0,0,1,方案整体清晰、可执行，并考虑到了安全和合规性。步骤较为完整，覆盖了现场控制、伤员救治、交通疏导、信息发布等关键环节。但方案在细节上仍有提升空间，例如对电动车驾驶员的控制力度描述不够明确，以及对后续交通恢复的预判不足。
R20260410151102,2026-04-10T15:11:02,S020,G5,dual,multi_with_review,1,1,gemma-3-27b-it,233038,0,0,0,1,0.85,0.9,0.8,0.7,0.87,0.87,llm,1,1,0.6,xopdeepseekv32,0.8,0.9,0.9,0.87,方案步骤具体完整，覆盖现场管控、伤员救援、交通疏导和调查追责等核心环节，可执行性强。充分考虑了事故风险控制，如防止二次事故。方案明确引用相关法律法规，符合应急预案要求。,,0.8,0.0,0,0,0,0,1,方案基本合理，覆盖了事故处理的主要环节，并考虑了伤员救治和交通疏导。但方案在人员解救的细节描述上略显不足，且疏导方案缺乏分级和预案联动，可能导致效率降低。方案符合相关法律法规和应急预案要求。
