source,source_temp_id,source_final_id,source_final_name,source_query_event_ids,relation,target,target_temp_id,target_final_id,target_final_name,target_query_event_ids,case_id,case_title,source_type,target_type,confidence,evidence,source_file,review_status
车辆侧翻,TMP_EVEN_1246DFBD7C,EVT_CASE_9CC62EF2EB,车辆侧翻,EVT_CASE_9CC62EF2EB|EVT_VEHICLE_BACKLOG|EVT_ROAD_BLOCKAGE|EVT_TRAFFIC_ACCIDENT,CAUSES,瓷砖散落,TMP_EVEN_1128BAD584,EVT_CASE_04E49A0DEE,瓷砖散落,EVT_CASE_04E49A0DEE,002_连霍高速洛阳段货车侧翻货物散落事故_b2d03a8f,连霍高速洛阳段货车侧翻货物散落事故,Event,Event,0.9500,连霍高速洛阳段K682公里处，一辆装载瓷砖的重型货车，因驾驶员操作不当，在高速出口匝道处发生侧翻，车载瓷砖全部散落至行车道与应急车道,交通应急处理案例2.txt,AUTO_HIGH
闯红灯,TMP_ACTI_D567064864,MEA_CASE_CF67B7CA0F,闯红灯,,REQUIRES,电动自行车,TMP_RESO_29257C7721,RES_CASE_8AE47E20B6,电动自行车,,003_城市主干道公交车与电动车碰撞事故_a4b4dfcf,城市主干道公交车与电动车碰撞事故,Action,Resource,0.6200,闯红灯的电动自行车,交通应急处理案例2.txt,AUTO_MEDIUM
交通碰撞,TMP_EVEN_14E22A3246,EVT_CASE_9DD0BDA4CE,交通碰撞,EVT_CASE_9DD0BDA4CE|EVT_TRAFFIC_ACCIDENT,TRIGGERS,闯红灯,TMP_ACTI_D567064864,MEA_CASE_CF67B7CA0F,闯红灯,,003_城市主干道公交车与电动车碰撞事故_a4b4dfcf,城市主干道公交车与电动车碰撞事故,Event,Action,0.6200,闯红灯的电动自行车,交通应急处理案例2.txt,AUTO_MEDIUM
交通碰撞,TMP_EVEN_14E22A3246,EVT_CASE_9DD0BDA4CE,交通碰撞,EVT_CASE_9DD0BDA4CE|EVT_TRAFFIC_ACCIDENT,TRIGGERS,封锁现场,TMP_ACTI_85D07C5D99,MEA_CASE_7880553438,封锁现场,,003_城市主干道公交车与电动车碰撞事故_a4b4dfcf,城市主干道公交车与电动车碰撞事故,Event,Action,0.6200,封锁事故现场,交通应急处理案例2.txt,AUTO_MEDIUM
交通碰撞,TMP_EVEN_14E22A3246,EVT_CASE_9DD0BDA4CE,交通碰撞,EVT_CASE_9DD0BDA4CE|EVT_TRAFFIC_ACCIDENT,TRIGGERS,疏散群众,TMP_ACTI_B13DFB5F68,MEA_CASE_96C3E54EF1,疏散群众,,003_城市主干道公交车与电动车碰撞事故_a4b4dfcf,城市主干道公交车与电动车碰撞事故,Event,Action,0.6200,疏散围观群众,交通应急处理案例2.txt,AUTO_MEDIUM
交通碰撞,TMP_EVEN_14E22A3246,EVT_CASE_9DD0BDA4CE,交通碰撞,EVT_CASE_9DD0BDA4CE|EVT_TRAFFIC_ACCIDENT,TRIGGERS,疏导交通,TMP_ACTI_A63833914D,MEA_CASE_2216349A64,疏导交通,,003_城市主干道公交车与电动车碰撞事故_a4b4dfcf,城市主干道公交车与电动车碰撞事故,Event,Action,0.6200,疏导过往车辆绕行,交通应急处理案例2.txt,AUTO_MEDIUM
交通碰撞,TMP_EVEN_14E22A3246,EVT_CASE_9DD0BDA4CE,交通碰撞,EVT_CASE_9DD0BDA4CE|EVT_TRAFFIC_ACCIDENT,TRIGGERS,现场勘查,TMP_ACTI_EBC13A89E7,MEA_CASE_C2D9BE1EAA,现场勘查,,003_城市主干道公交车与电动车碰撞事故_a4b4dfcf,城市主干道公交车与电动车碰撞事故,Event,Action,0.6200,开展现场勘查,交通应急处理案例2.txt,AUTO_MEDIUM
交通碰撞,TMP_EVEN_14E22A3246,EVT_CASE_9DD0BDA4CE,交通碰撞,EVT_CASE_9DD0BDA4CE|EVT_TRAFFIC_ACCIDENT,TRIGGERS,责任认定,TMP_ACTI_4B26883EF4,MEA_CASE_3BEB23D29A,责任认定,,003_城市主干道公交车与电动车碰撞事故_a4b4dfcf,城市主干道公交车与电动车碰撞事故,Event,Action,0.6200,责任认定,交通应急处理案例2.txt,AUTO_MEDIUM
交通碰撞,TMP_EVEN_14E22A3246,EVT_CASE_9DD0BDA4CE,交通碰撞,EVT_CASE_9DD0BDA4CE|EVT_TRAFFIC_ACCIDENT,TRIGGERS,紧急止血,TMP_ACTI_B371D1BCE6,MEA_CASE_BFD0731CF4,紧急止血,,003_城市主干道公交车与电动车碰撞事故_a4b4dfcf,城市主干道公交车与电动车碰撞事故,Event,Action,0.6200,紧急止血,交通应急处理案例2.txt,AUTO_MEDIUM
交通碰撞,TMP_EVEN_14E22A3246,EVT_CASE_9DD0BDA4CE,交通碰撞,EVT_CASE_9DD0BDA4CE|EVT_TRAFFIC_ACCIDENT,TRIGGERS,包扎,TMP_ACTI_AA3489DF74,MEA_CASE_D3FB3C9BCF,包扎,,003_城市主干道公交车与电动车碰撞事故_a4b4dfcf,城市主干道公交车与电动车碰撞事故,Event,Action,0.6200,包扎,交通应急处理案例2.txt,AUTO_MEDIUM
交通碰撞,TMP_EVEN_14E22A3246,EVT_CASE_9DD0BDA4CE,交通碰撞,EVT_CASE_9DD0BDA4CE|EVT_TRAFFIC_ACCIDENT,TRIGGERS,转运,TMP_ACTI_F4FFF3FBFC,MEA_CASE_F9A9A6FAD1,转运,,003_城市主干道公交车与电动车碰撞事故_a4b4dfcf,城市主干道公交车与电动车碰撞事故,Event,Action,0.6200,转运至医院抢救,交通应急处理案例2.txt,AUTO_MEDIUM
电池短路,TMP_ACTI_C2234C337F,MEA_CASE_5E9CDA061E,电池短路,,REQUIRES,小型轿车,TMP_RESO_AFA05EF1DD,RES_CASE_70407E27F9,小型轿车,,005_高速服务区车辆起火事故_dac6bbf7,高速服务区车辆起火事故,Action,Resource,0.8500,一辆小型轿车在停车场内充电时，因电池短路引发起火,交通应急处理案例2.txt,AUTO_HIGH
正面碰撞,TMP_ACTI_CB7D7F1BE7,MEA_CASE_6BA428A393,正面碰撞,,REQUIRES,私家车,TMP_RESO_A2C955C981,RES_CASE_E88979D653,私家车,,006_危化品运输车与私家车碰撞泄漏事故_9a2ba735,危化品运输车与私家车碰撞泄漏事故,Action,Resource,0.6200,与一辆逆行的私家车发生正面碰撞,交通应急处理案例2.txt,AUTO_MEDIUM
危险化学品运输泄漏事件,TMP_EVEN_563D371643,EVT_HAZMAT_LEAK,危险化学品运输泄漏事件,EVT_HAZMAT_LEAK|EVT_HAZMAT_ACCIDENT|EVT_TRAFFIC_ACCIDENT,TRIGGERS,正面碰撞,TMP_ACTI_CB7D7F1BE7,MEA_CASE_6BA428A393,正面碰撞,,006_危化品运输车与私家车碰撞泄漏事故_9a2ba735,危化品运输车与私家车碰撞泄漏事故,Event,Action,0.6200,与一辆逆行的私家车发生正面碰撞,交通应急处理案例2.txt,AUTO_MEDIUM
危险化学品运输泄漏事件,TMP_EVEN_563D371643,EVT_HAZMAT_LEAK,危险化学品运输泄漏事件,EVT_HAZMAT_LEAK|EVT_HAZMAT_ACCIDENT|EVT_TRAFFIC_ACCIDENT,TRIGGERS,堵漏,TMP_ACTI_1C06945E6C,MEA_CASE_39D13A1B81,堵漏,,006_危化品运输车与私家车碰撞泄漏事故_9a2ba735,危化品运输车与私家车碰撞泄漏事故,Event,Action,0.6200,对泄漏点进行堵漏,交通应急处理案例2.txt,AUTO_MEDIUM
稀释,TMP_ACTI_6E91858C2E,MEA_CASE_00EC36C353,稀释,,REQUIRES,液态氨,TMP_RESO_AEAF6AF84C,RES_CASE_752564BE64,液态氨,,006_危化品运输车与私家车碰撞泄漏事故_9a2ba735,危化品运输车与私家车碰撞泄漏事故,Action,Resource,0.6200,稀释泄漏的液态氨,交通应急处理案例2.txt,AUTO_MEDIUM
危险化学品运输泄漏事件,TMP_EVEN_563D371643,EVT_HAZMAT_LEAK,危险化学品运输泄漏事件,EVT_HAZMAT_LEAK|EVT_HAZMAT_ACCIDENT|EVT_TRAFFIC_ACCIDENT,TRIGGERS,稀释,TMP_ACTI_6E91858C2E,MEA_CASE_00EC36C353,稀释,,006_危化品运输车与私家车碰撞泄漏事故_9a2ba735,危化品运输车与私家车碰撞泄漏事故,Event,Action,0.6200,稀释泄漏的液态氨,交通应急处理案例2.txt,AUTO_MEDIUM
转运,TMP_ACTI_FB81BF9AF8,MEA_CASE_F9A9A6FAD1,转运,,REQUIRES,液态氨,TMP_RESO_AEAF6AF84C,RES_CASE_752564BE64,液态氨,,006_危化品运输车与私家车碰撞泄漏事故_9a2ba735,危化品运输车与私家车碰撞泄漏事故,Action,Resource,0.6200,对剩余液态氨进行安全转运,交通应急处理案例2.txt,AUTO_MEDIUM
危险化学品运输泄漏事件,TMP_EVEN_563D371643,EVT_HAZMAT_LEAK,危险化学品运输泄漏事件,EVT_HAZMAT_LEAK|EVT_HAZMAT_ACCIDENT|EVT_TRAFFIC_ACCIDENT,TRIGGERS,转运,TMP_ACTI_FB81BF9AF8,MEA_CASE_F9A9A6FAD1,转运,,006_危化品运输车与私家车碰撞泄漏事故_9a2ba735,危化品运输车与私家车碰撞泄漏事故,Event,Action,0.6200,对剩余液态氨进行安全转运,交通应急处理案例2.txt,AUTO_MEDIUM
危险化学品运输泄漏事件,TMP_EVEN_563D371643,EVT_HAZMAT_LEAK,危险化学品运输泄漏事件,EVT_HAZMAT_LEAK|EVT_HAZMAT_ACCIDENT|EVT_TRAFFIC_ACCIDENT,TRIGGERS,事故调查,TMP_ACTI_A923FFF223,MEA_CASE_6933DFD8F9,事故调查,,006_危化品运输车与私家车碰撞泄漏事故_9a2ba735,危化品运输车与私家车碰撞泄漏事故,Event,Action,0.6200,依据《危险化学品安全管理条例》开展事故调查,交通应急处理案例2.txt,AUTO_MEDIUM
追尾事故,TMP_EVEN_2187D042FD,EVT_CASE_4D219D5D07,追尾事故,EVT_CASE_4D219D5D07|EVT_TRAFFIC_ACCIDENT,TRIGGERS,急刹车,TMP_ACTI_F8056A6514,MEA_CASE_72BE7C7A01,急刹车,,007_城市快速路多车追尾事故_91cf4a2e,城市快速路多车追尾事故,Event,Action,0.6200,一辆小型轿车因急刹车,交通应急处理案例2.txt,AUTO_MEDIUM
追尾事故,TMP_EVEN_2187D042FD,EVT_CASE_4D219D5D07,追尾事故,EVT_CASE_4D219D5D07|EVT_TRAFFIC_ACCIDENT,CAUSES,油路泄漏,TMP_EVEN_4C6B812EC0,EVT_CASE_5DC52E598D,油路泄漏,EVT_CASE_5DC52E598D,007_城市快速路多车追尾事故_91cf4a2e,城市快速路多车追尾事故,Event,Event,0.6000,造成3人轻微受伤，快速路单向交通严重拥堵，后方车辆滞留约6公里，早高峰通勤受到严重影响，事故车辆占用应急车道，影响救援车辆通行，部分车辆因碰撞出现油路泄漏，存在起火风险。,交通应急处理案例2.txt,AUTO_MEDIUM
车辆碰撞行人,TMP_EVEN_F7E4D3192E,EVT_CASE_CEA9425D82,车辆碰撞行人,EVT_CASE_CEA9425D82|EVT_TRAFFIC_ACCIDENT,TRIGGERS,碰撞,TMP_ACTI_EFCB52721E,MEA_CASE_6B219E66DE,碰撞,,008_乡村道路拖拉机与行人碰撞事故_7fd0535a,乡村道路拖拉机与行人碰撞事故,Event,Action,0.6200,发生碰撞，老人被撞倒在地,交通应急处理案例2.txt,AUTO_MEDIUM
