entity_id,entity_name,entity_type,alias,alias_type,source
EVT_VEHICLE_BACKLOG,车辆积压,Event,车辆侧翻,scene_expression,案例抽取自动补充:002_连霍高速洛阳段货车侧翻货物散落事故_b2d03a8f
EVT_ROAD_BLOCKAGE,公路阻塞,Event,车辆侧翻,scene_expression,案例抽取自动补充:002_连霍高速洛阳段货车侧翻货物散落事故_b2d03a8f
EVT_TRAFFIC_ACCIDENT,交通事故,Event,车辆侧翻,scene_expression,案例抽取自动补充:002_连霍高速洛阳段货车侧翻货物散落事故_b2d03a8f
EVT_TRAFFIC_ACCIDENT,交通事故,Event,交通碰撞,scene_expression,案例抽取自动补充:003_城市主干道公交车与电动车碰撞事故_a4b4dfcf
EVT_ROAD_INTERRUPTION,公路中断,Event,道路滑坡,scene_expression,案例抽取自动补充:004_山区公路滑坡阻断交通事故_63a86176
EVT_ROAD_DAMAGE,公路损毁,Event,道路滑坡,scene_expression,案例抽取自动补充:004_山区公路滑坡阻断交通事故_63a86176
EVT_ROAD_BLOCKAGE,公路阻塞,Event,道路滑坡,scene_expression,案例抽取自动补充:004_山区公路滑坡阻断交通事故_63a86176
EVT_TRAFFIC_ACCIDENT,交通事故,Event,车辆起火,scene_expression,案例抽取自动补充:005_高速服务区车辆起火事故_dac6bbf7
EVT_HAZMAT_LEAK,危险化学品运输泄漏事件,Event,危险化学品泄漏事故,scene_expression,案例抽取自动补充:006_危化品运输车与私家车碰撞泄漏事故_9a2ba735
EVT_TRAFFIC_ACCIDENT,交通事故,Event,车辆碰撞行人,scene_expression,案例抽取自动补充:008_乡村道路拖拉机与行人碰撞事故_7fd0535a
EVT_VEHICLE_BACKLOG,车辆积压,Event,车辆起火,scene_expression,案例抽取自动补充:009_隧道内车辆起火浓烟封堵事故_2ff59dd3
EVT_LONG_TUNNEL_ACCIDENT,特长隧道安全事故,Event,车辆起火,scene_expression,案例抽取自动补充:009_隧道内车辆起火浓烟封堵事故_2ff59dd3
EVT_TRAFFIC_ACCIDENT,交通事故,Event,道路塌陷,scene_expression,案例抽取自动补充:010_暴雨引发道路塌陷交通事故_f50e7896
EVT_ROAD_INTERRUPTION,公路中断,Event,道路塌陷,scene_expression,案例抽取自动补充:010_暴雨引发道路塌陷交通事故_f50e7896
EVT_NATURAL_DISASTER,自然灾害,Event,道路塌陷,scene_expression,案例抽取自动补充:010_暴雨引发道路塌陷交通事故_f50e7896
EVT_HAZMAT_ACCIDENT,危险货物运输事故,Event,燃油泄漏,scene_expression,案例抽取自动补充:011_高速货车与护栏碰撞燃油泄漏事故_ae8b8317
EVT_ROAD_EMERGENCY,公路交通突发事件,Event,道路交通碰撞,scene_expression,案例抽取自动补充:012_城市路口货车闯红灯撞人事故_bb08dee8
EVT_TRAFFIC_ACCIDENT,交通事故,Event,道路交通碰撞,scene_expression,案例抽取自动补充:012_城市路口货车闯红灯撞人事故_bb08dee8
EVT_TRAFFIC_ACCIDENT,交通事故,Event,客车坠崖,scene_expression,案例抽取自动补充:013_山区公路客车坠崖事故_8922caf2
EVT_HAZMAT_LEAK,危险化学品运输泄漏事件,Event,危化品车罐体爆炸,scene_expression,案例抽取自动补充:015_高速危化品车罐体爆炸事故_f7b8552f
EVT_TRAFFIC_ACCIDENT,交通事故,Event,危化品车罐体爆炸,scene_expression,案例抽取自动补充:015_高速危化品车罐体爆炸事故_f7b8552f
