entity_id,entity_name,entity_type,alias,alias_type,source
EVT_PRODUCTION_ACCIDENT,公路交通运输生产事故,Event,自动驾驶车辆碰撞,scene_expression,案例抽取自动补充:002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e
EVT_ROAD_DAMAGE,公路损毁,Event,自动驾驶车辆碰撞,scene_expression,案例抽取自动补充:002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e
EVT_MAJOR_BRIDGE_ACCIDENT,特大桥梁安全事故,Event,桥梁车辆坠落事故,scene_expression,案例抽取自动补充:005_山区水上浮桥重载货车坠河事故_b6cf7837
EVT_ROAD_INTERRUPTION,公路中断,Event,车辆失控冲撞,scene_expression,案例抽取自动补充:006_矿山专用道路矿车刹车失灵冲撞事故_ebcf86b0
EVT_VEHICLE_BACKLOG,车辆积压,Event,车辆失控,scene_expression,案例抽取自动补充:012_跨海大桥强台风车辆连环失控事故_ad834cbb
EVT_VEHICLE_BACKLOG,车辆积压,Event,沙漠失联被困,scene_expression,案例抽取自动补充:019_沙漠越野穿越车队失联被困事故_bb9acf58
EVT_TRAFFIC_ACCIDENT,交通事故,Event,集装箱坠落,scene_expression,案例抽取自动补充:021_港口集装箱码头拖头车与堆垛碰撞事故_6456b2ee
EVT_ROAD_DAMAGE,公路损毁,Event,限高架被撞断,scene_expression,案例抽取自动补充:022_高铁桥下道路限高架被货车撞断事故_7e31d62f
EVT_TRAFFIC_ACCIDENT,交通事故,Event,车辆坠海,scene_expression,案例抽取自动补充:028_渔港码头道路货车坠海事故_fb0db251
EVT_PRODUCTION_ACCIDENT,公路交通运输生产事故,Event,燃气管道破损泄漏,scene_expression,案例抽取自动补充:031_城市老旧小区加装电梯施工车辆撞断燃气管道事故_634535d3
EVT_VEHICLE_BACKLOG,车辆积压,Event,道路拥堵,scene_expression,案例抽取自动补充:034_城市应急避难场所周边疏散通道违停拥堵事故_5a706da2
EVT_PRODUCTION_ACCIDENT,公路交通运输生产事故,Event,施工机械坠河,scene_expression,案例抽取自动补充:036_城市河道清淤工程车坠河事故_e9e0f326
EVT_TRAFFIC_ACCIDENT,交通事故,Event,无人机坠落引发追尾事故,scene_expression,案例抽取自动补充:037_高速公路无人机掉落引发多车急刹追尾事故_9ff3d797
EVT_ROAD_INTERRUPTION,公路中断,Event,无人机坠落引发追尾事故,scene_expression,案例抽取自动补充:037_高速公路无人机掉落引发多车急刹追尾事故_9ff3d797
EVT_ROAD_EMERGENCY,公路交通突发事件,Event,车辆冲撞行人,scene_expression,案例抽取自动补充:038_农村红白事宴席占道引发货车冲撞事故_34e8aa66
EVT_ROAD_INTERRUPTION,公路中断,Event,车辆冲撞行人,scene_expression,案例抽取自动补充:038_农村红白事宴席占道引发货车冲撞事故_34e8aa66
EVT_ROAD_INTERRUPTION,公路中断,Event,农机具碰撞,scene_expression,案例抽取自动补充:045_水稻田机耕路插秧机与电动三轮车碰撞事故_07013028
