run_id,run_time,sample_id,group_id,retrieval_mode,agent_mode,enable_review,enable_revision,model_name,latency_ms,input_tokens,output_tokens,total_tokens,approved_like,executability_score,safety_score,constraint_alignment_score,evidence_grounding_score,total_score,rule_total_score,score_backend,llm_judge_enabled,llm_judge_success,llm_judge_weight,llm_judge_model,llm_executability_score,llm_safety_score,llm_compliance_score,llm_overall_score,llm_judge_reason,llm_judge_error,constraint_coverage,critical_miss_rate,has_forbidden_action,critical_action_missed,missing_actions_count,violated_constraints_count,evidence_hit_count,notes
R20260412103344,2026-04-12T10:33:44,S001,G5,dual,multi_with_review,1,1,gemma-3-27b-it,92902,0,0,0,1,0.85,0.75,0.9,0.8,0.8565,0.83,hybrid,1,1,0.5,xopdeepseekv32,0.9,0.8,0.95,0.883,方案步骤清晰完整，职责明确，可执行性强。充分考虑了伤员救治、消防和交通管制。但对二次事故（如团雾持续、车辆拥堵、有毒烟雾）的预防措施描述可更具体，安全细节待完善。引用法规充分，合规性高。,,0.9,0.0,0,0,0,0,2,方案整体清晰，步骤合理，符合应急响应流程。但安全方面考虑不够细致，例如对二次事故的预防措施描述较为简单。合规性较高，引用了相关法律法规。方案在资源调配和步骤安排上较为完整，可执行性较强。
R20260412103344,2026-04-12T10:33:44,S002,G5,dual,multi_with_review,1,1,gemma-3-27b-it,105637,0,0,0,1,0.9,0.95,0.9,0.7,0.855,0.86,hybrid,1,1,0.5,xopdeepseekv32,0.85,0.8,0.9,0.85,方案步骤清晰完整，响应级别、部门联动与具体处置措施（如封锁、稀释、疏散、抢修、监测）可执行性强。对风险控制（防爆、疏散、监测）考虑充分，但隧道内高浓度可燃蒸汽环境下的救援操作安全细节可进一步加强。方案整体符合相关法律法规和应急预案要求。,,0.9,0.0,0,0,0,0,1,方案整体较为完整，考虑了事故的多个方面，并给出了相应的处置措施。方案步骤清晰，可执行性较强，且符合相关法律法规和应急预案的要求。但在人员疏散和二次保护方面仍有提升空间。
R20260412103344,2026-04-12T10:33:44,S003,G5,dual,multi_with_review,1,1,gemma-3-27b-it,84302,0,0,0,1,0.9,0.95,0.9,0.8,0.88,0.88,hybrid,1,1,0.5,xopdeepseekv32,0.85,0.9,0.9,0.88,方案步骤完整可执行，无口号式内容。重点控制桥梁坍塌与救援安全风险，考虑了监测与风险动态调整。措施明确，覆盖多部门联动，法律依据充分。,,0.9,0.0,0,0,0,0,1,方案整体较为完整，考虑了救援、安全、交通管制、风险评估等多个方面，并明确了所需资源和法律依据。可执行性较强，安全措施到位，符合相关法规。但方案在细节上仍有提升空间，例如对不同伤情人员的救援优先级细化，以及对二次灾害的预防措施补充。
R20260412103344,2026-04-12T10:33:44,S004,G5,dual,multi_with_review,1,1,gemma-3-27b-it,103676,0,0,0,1,0.9,0.95,1.0,0.8,0.875,0.9,hybrid,1,1,0.5,xopdeepseekv32,0.85,0.8,0.9,0.85,方案步骤清晰完整，责任分工明确，符合法规预案。但安全控制上对积水深度持续监测、电力设施防护和救援人员安全等新风险考虑稍显不足。,,1.0,0.0,0,0,0,0,2,方案整体清晰、可执行，并考虑了人员安全和交通疏导。符合相关法律法规和应急预案要求。但方案在细节上仍有提升空间，例如对积水深度监测和商铺恢复的力度描述不够具体。
R20260412103344,2026-04-12T10:33:44,S005,G5,dual,multi_with_review,1,1,gemma-3-27b-it,94739,0,0,0,1,0.85,0.8,0.9,0.7,0.845,0.82,hybrid,1,1,0.5,xopdeepseekv32,0.9,0.8,0.9,0.87,方案步骤清晰完整，职责明确，可执行性强。伤员救治、现场封锁、清障、疏导等措施基本覆盖事故处置需求，符合相关法规和预案。安全方面，对二次事故防范提及但缺乏针对无护栏弯道等具体风险点的强化措施。,,0.9,0.0,0,0,0,0,1,方案整体清晰，步骤合理，符合交通应急处理的基本流程，并引用了相关法律法规。但在安全方面，对二次事故的防范力度略有不足，且疏导方案缺乏细节。方案可执行性较强，但仍有提升空间。
R20260412103344,2026-04-12T10:33:44,S006,G5,dual,multi_with_review,1,1,gemma-3-27b-it,106449,0,0,0,1,0.9,0.95,0.9,0.8,0.865,0.88,hybrid,1,1,0.5,xopdeepseekv32,0.85,0.8,0.9,0.85,方案步骤具体、完整，职责清晰，具有较强可操作性。充分考虑了现场灭火、人员疏散、环境监测和交通管制等安全要点。符合相关法律法规和应急预案要求。但疏散范围（500米）及二次爆燃风险评估的具体方法可进一步细化。,,0.9,0.0,0,0,0,0,2,方案整体清晰、可执行，并充分考虑了危化品事故的风险控制和人员安全。方案步骤较为完整，覆盖了现场控制、人员疏散、环境监测和交通恢复等关键环节。但方案在细节上仍有提升空间，例如疏散范围的精确化、二次爆燃风险的持续评估等。
R20260412103344,2026-04-12T10:33:44,S007,G5,dual,multi_with_review,1,1,gemma-3-27b-it,74510,0,0,0,1,0.9,0.95,1.0,0.7,0.85,0.88,hybrid,1,1,0.5,xopdeepseekv32,0.85,0.75,0.85,0.82,方案步骤清晰完整，责任单位明确，流程符合应急预案。强调了安全评估、二次事故预防和交通疏导。但对货车侧翻本身及散落货物现场的具体安全控制（如漏油、货物特性）和拥堵疏解的动态监测描述不够详细。,,1.0,0.0,0,0,0,0,1,方案整体清晰、可执行，并考虑了安全和合规性。步骤较为合理，资源配置基本满足需求。但方案在细节上仍有提升空间，例如对二次事故的预防措施可以更具体，以及对拥堵情况的持续监测和评估。
R20260412103344,2026-04-12T10:33:44,S008,G5,dual,multi_with_review,1,1,gemma-3-27b-it,62171,0,0,0,1,0.9,0.95,0.85,0.7,0.86,0.85,hybrid,1,1,0.5,xopdeepseekv32,0.8,0.9,0.9,0.87,方案步骤清晰、可操作性强，覆盖了从现场处置到后期调查的完整流程，充分考虑了安全风险控制和法规遵从。但部分措施如“心理疏导”针对人群不够明确，可细化。,,0.85,0.0,0,0,0,0,1,方案整体较为完整，步骤清晰，覆盖了事故处理的主要环节，并考虑了安全和合规性。但部分步骤可以更精细化，且缺少对公交车乘客的关注。方案符合Ⅳ级预警和响应要求，并引用了相关法律法规。
R20260412103344,2026-04-12T10:33:44,S009,G5,dual,multi_with_review,1,1,gemma-3-27b-it,70098,0,0,0,1,0.9,0.95,0.9,0.8,0.865,0.88,hybrid,1,1,0.5,xopdeepseekv32,0.85,0.8,0.9,0.85,方案步骤清晰、分工明确，基本具备可操作性，但部分细节如通信恢复、地质监测与清理作业的协同顺序可优化。方案强调风险评估和人员安全，但救援人员徒步求援的风险控制预案不足。方案整体符合相关法规和应急预案框架。,,0.9,0.0,0,0,0,0,2,方案整体清晰、可执行，并充分考虑了安全风险和合规性要求。步骤较为完整，涵盖了应急响应、交通管制、救援、风险评估和后期处理等关键环节。但方案在通信保障方面略有不足，且对救援过程中的潜在风险预案不够细化。
R20260412103344,2026-04-12T10:33:44,S010,G5,dual,multi_with_review,1,1,gemma-3-27b-it,66990,0,0,0,1,0.9,0.95,0.9,0.8,0.88,0.88,hybrid,1,1,0.5,xopdeepseekv32,0.9,0.8,0.95,0.88,方案步骤清晰完整，分工明确，可执行性强。充分考虑了人员疏散、火势隔离、交通管制等关键风险控制措施，符合相关法律法规。但方案对消防废水处理、有毒气体和电池复燃等具体风险的防范细节可进一步强化。,,0.9,0.0,0,0,0,0,2,方案整体清晰、可执行，并考虑到了火势蔓延和人员安全的关键因素。步骤合理，资源配置基本到位，符合相关法律法规和应急预案的要求。但方案在细节上仍有提升空间，例如对消防废水处理的关注不够，以及对起火原因调查的深度。
