source,source_temp_id,source_final_id,source_final_name,source_query_event_ids,relation,target,target_temp_id,target_final_id,target_final_name,target_query_event_ids,case_id,case_title,source_type,target_type,confidence,evidence,source_file,review_status
危化品运输车辆与火车碰撞,TMP_EVEN_FC1F4AB40B,EVT_HAZMAT_ACCIDENT,危险货物运输事故,EVT_HAZMAT_ACCIDENT|EVT_ROAD_INTERRUPTION|EVT_TRAFFIC_ACCIDENT|EVT_HAZMAT_LEAK,CAUSES,危化品泄漏,TMP_EVEN_70D4B09976,EVT_CASE_FF7FD44A64,危化品泄漏,EVT_CASE_FF7FD44A64,001_铁路道口危化品运输车与火车碰撞事故_b56d81db,铁路道口危化品运输车与火车碰撞事故,Event,Event,0.9500,危化品罐体出现裂缝，天然气少量泄漏,交通应急处理案例3.txt,AUTO_HIGH
堵漏,TMP_ACTI_469834002E,MEA_CASE_39D13A1B81,堵漏,,REQUIRES,液化天然气,TMP_RESO_1A5775219B,RES_CASE_D5B0647912,液化天然气,,001_铁路道口危化品运输车与火车碰撞事故_b56d81db,铁路道口危化品运输车与火车碰撞事故,Action,Resource,0.8000,对泄漏罐体进行堵漏、稀释处理,交通应急处理案例3.txt,AUTO_MEDIUM
稀释,TMP_ACTI_0EE0320807,MEA_CASE_00EC36C353,稀释,,REQUIRES,液化天然气,TMP_RESO_1A5775219B,RES_CASE_D5B0647912,液化天然气,,001_铁路道口危化品运输车与火车碰撞事故_b56d81db,铁路道口危化品运输车与火车碰撞事故,Action,Resource,0.8000,对泄漏罐体进行堵漏、稀释处理,交通应急处理案例3.txt,AUTO_MEDIUM
车辆侧翻,TMP_EVEN_E298168B17,EVT_CASE_9CC62EF2EB,车辆侧翻,EVT_CASE_9CC62EF2EB|EVT_VEHICLE_BACKLOG|EVT_ROAD_INTERRUPTION|EVT_TRAFFIC_ACCIDENT,TRIGGERS,超载,TMP_ACTI_3E5061FBE2,MEA_CASE_A048795819,超载,,002_城市高架匝道货车侧翻货物散落事故_dc8ba489,城市高架匝道货车侧翻货物散落事故,Event,Action,0.7000,一辆重型货车超载运输建材，在匝道转弯处因车速过快、重心偏移发生侧翻,交通应急处理案例3.txt,AUTO_MEDIUM
车辆侧翻,TMP_EVEN_E298168B17,EVT_CASE_9CC62EF2EB,车辆侧翻,EVT_CASE_9CC62EF2EB|EVT_VEHICLE_BACKLOG|EVT_ROAD_INTERRUPTION|EVT_TRAFFIC_ACCIDENT,CAUSES,匝道交通中断,TMP_EVEN_D9BE32377D,EVT_CASE_BE91B84AF9,匝道交通中断,EVT_CASE_BE91B84AF9,002_城市高架匝道货车侧翻货物散落事故_dc8ba489,城市高架匝道货车侧翻货物散落事故,Event,Event,0.9000,造成货车驾驶员1人轻微擦伤，无其他人员伤亡，匝道双向交通完全中断,交通应急处理案例3.txt,AUTO_HIGH
匝道交通中断,TMP_EVEN_D9BE32377D,EVT_CASE_BE91B84AF9,匝道交通中断,EVT_CASE_BE91B84AF9,CAUSES,车辆滞留,TMP_EVEN_62B5CFB50C,EVT_VEHICLE_BACKLOG,车辆积压,EVT_VEHICLE_BACKLOG,002_城市高架匝道货车侧翻货物散落事故_dc8ba489,城市高架匝道货车侧翻货物散落事故,Event,Event,0.8000,后方车辆滞留约4公里,交通应急处理案例3.txt,AUTO_MEDIUM
渡船碰撞,TMP_EVEN_C3825CE0B5,EVT_CASE_AD42D6EE60,渡船碰撞,EVT_CASE_AD42D6EE60|EVT_TRAFFIC_ACCIDENT,TRIGGERS,事故调查,TMP_ACTI_2A6795CA11,MEA_CASE_6933DFD8F9,事故调查,,003_乡村渡口车辆渡船碰撞事故_a7269e2d,乡村渡口车辆渡船碰撞事故,Event,Action,0.6200,依据《内河交通安全管理条例》开展事故调查,交通应急处理案例3.txt,AUTO_MEDIUM
车辆追尾,TMP_EVEN_49B78E1305,EVT_CASE_7E4A45E8A0,车辆追尾,EVT_CASE_7E4A45E8A0|EVT_HAZMAT_LEAK|EVT_VEHICLE_BACKLOG|EVT_TRAFFIC_ACCIDENT,CAUSES,起火,TMP_EVEN_5604ADCE74,EVT_CASE_768E76F1F3,起火,EVT_CASE_768E76F1F3,004_高速收费站车辆追尾引发火灾事故_1f1f3d01,高速收费站车辆追尾引发火灾事故,Event,Event,0.9000,某高速公路收费站入口车道，因车流量大通行缓慢，一辆小型轿车因跟车过近，与前方一辆重型半挂牵引车发生追尾，轿车车头撞击严重并起火,交通应急处理案例3.txt,AUTO_HIGH
车辆追尾,TMP_EVEN_49B78E1305,EVT_CASE_7E4A45E8A0,车辆追尾,EVT_CASE_7E4A45E8A0|EVT_HAZMAT_LEAK|EVT_VEHICLE_BACKLOG|EVT_TRAFFIC_ACCIDENT,CAUSES,柴油泄漏,TMP_EVEN_5CFD6FF739,EVT_HAZMAT_LEAK,危险化学品运输泄漏事件,EVT_HAZMAT_LEAK,004_高速收费站车辆追尾引发火灾事故_1f1f3d01,高速收费站车辆追尾引发火灾事故,Event,Event,0.8500,牵引车油箱被撞破损，柴油泄漏,交通应急处理案例3.txt,AUTO_HIGH
消防救援,TMP_ACTI_C02EFB430D,MEA_CASE_8FF9372275,消防救援,,REQUIRES,泡沫消防车,TMP_RESO_F1F4414356,RES_CASE_29907B707A,泡沫消防车,,004_高速收费站车辆追尾引发火灾事故_1f1f3d01,高速收费站车辆追尾引发火灾事故,Action,Resource,0.9000,消防救援队伍赶赴现场，采用泡沫消防车压制火势,交通应急处理案例3.txt,AUTO_HIGH
起火,TMP_EVEN_5604ADCE74,EVT_CASE_768E76F1F3,起火,EVT_CASE_768E76F1F3,TRIGGERS,消防救援,TMP_ACTI_C02EFB430D,MEA_CASE_8FF9372275,消防救援,,004_高速收费站车辆追尾引发火灾事故_1f1f3d01,高速收费站车辆追尾引发火灾事故,Event,Action,0.8000,消防救援队伍赶赴现场，采用泡沫消防车压制火势,交通应急处理案例3.txt,AUTO_MEDIUM
消防救援,TMP_ACTI_C02EFB430D,MEA_CASE_8FF9372275,消防救援,,IMPLEMENTED_BY,交警部门,TMP_DEPA_242B8AC4F3,ORG_CASE_C08151231F,交警部门,,004_高速收费站车辆追尾引发火灾事故_1f1f3d01,高速收费站车辆追尾引发火灾事故,Action,Department,0.7000,交警部门封闭收费站入口车道，疏导后方车辆从其他收费站驶入高速,交通应急处理案例3.txt,AUTO_MEDIUM
车辆碰撞,TMP_EVEN_10BD03C227,EVT_CASE_9BDDC88CCC,车辆碰撞,EVT_CASE_9BDDC88CCC|EVT_TRAFFIC_ACCIDENT,CAUSES,起火,TMP_EVEN_260543E6D2,EVT_CASE_768E76F1F3,起火,EVT_CASE_768E76F1F3,005_城市地下车库车辆碰撞起火事故_4670e54d,城市地下车库车辆碰撞起火事故,Event,Event,0.9500,碰撞导致轿车电路短路引发起火,交通应急处理案例3.txt,AUTO_HIGH
暴雨,TMP_EVEN_80EAC57D22,EVT_RAINSTORM,暴雨,EVT_RAINSTORM,CAUSES,隧道追尾事故,TMP_EVEN_07759CDBFB,EVT_CASE_8035ADE77D,隧道追尾事故,EVT_CASE_8035ADE77D|EVT_LONG_TUNNEL_ACCIDENT|EVT_ROAD_EMERGENCY|EVT_METEO_ROAD,006_山区隧道群连环追尾事故_2368489c,山区隧道群连环追尾事故,Event,Event,0.9500,因突发暴雨，隧道内路面湿滑，一辆重型货车与前方4辆小型轿车、2辆轻型货车发生连环追尾,交通应急处理案例3.txt,AUTO_HIGH
隧道封闭,TMP_ACTI_CF63E5A541,MEA_CASE_4B9F204C5D,隧道封闭,,IMPLEMENTED_BY,交警,TMP_DEPA_F075F23451,ORG_CASE_DA3B807A38,交警,,006_山区隧道群连环追尾事故_2368489c,山区隧道群连环追尾事故,Action,Department,0.9000,交警封闭隧道群出入口,交通应急处理案例3.txt,AUTO_HIGH
破拆,TMP_ACTI_A73A9C62FB,MEA_CASE_AA591130A1,破拆,,IMPLEMENTED_BY,消防,TMP_DEPA_867F84EFE0,ORG_CASE_84C9FE032D,消防,,006_山区隧道群连环追尾事故_2368489c,山区隧道群连环追尾事故,Action,Department,0.9000,消防救援队伍使用破拆工具解救被困人员,交通应急处理案例3.txt,AUTO_HIGH
清理,TMP_ACTI_D731408040,MEA_CASE_F2C178773D,清理,,IMPLEMENTED_BY,交通部门,TMP_DEPA_F3E48E245D,ORG_CASE_B6CBD41599,交通部门,,006_山区隧道群连环追尾事故_2368489c,山区隧道群连环追尾事故,Action,Department,0.9000,交通部门调用清障车清理事故车辆,交通应急处理案例3.txt,AUTO_HIGH
渗水检测,TMP_ACTI_354431D052,MEA_CASE_B390003A27,渗水检测,,IMPLEMENTED_BY,交通部门,TMP_DEPA_F3E48E245D,ORG_CASE_B6CBD41599,交通部门,,006_山区隧道群连环追尾事故_2368489c,山区隧道群连环追尾事故,Action,Department,0.9000,交通部门对隧道顶部进行渗水检测,交通应急处理案例3.txt,AUTO_HIGH
车辆侧滑,TMP_EVEN_F77D0B225F,EVT_CASE_F4726E4011,车辆侧滑,EVT_CASE_F4726E4011|EVT_ROAD_ICE|EVT_VEHICLE_BACKLOG|EVT_TRAFFIC_ACCIDENT,CAUSES,道路结冰,TMP_EVEN_758FF2100E,EVT_CASE_71CB098DA9,道路结冰,EVT_CASE_71CB098DA9,007_冰雪景区道路客车侧滑事故_2812b623,冰雪景区道路客车侧滑事故,Event,Event,0.9000,因路面结冰湿滑，在弯道处发生侧滑,交通应急处理案例3.txt,AUTO_HIGH
暴雨,TMP_EVEN_288469C640,EVT_RAINSTORM,暴雨,EVT_RAINSTORM,CAUSES,桥梁冲毁,TMP_EVEN_996EABC20A,EVT_ROAD_DAMAGE,公路损毁,EVT_ROAD_DAMAGE|EVT_FLOOD|EVT_TRAFFIC_ACCIDENT,008_暴雨乡村桥梁冲毁交通事故_3bc5860c,暴雨乡村桥梁冲毁交通事故,Event,Event,0.9500,因连续特大暴雨，河水暴涨冲毁桥梁中段,交通应急处理案例3.txt,AUTO_HIGH
车辆碰撞,TMP_EVEN_6A96E5803F,EVT_CASE_9BDDC88CCC,车辆碰撞,EVT_CASE_9BDDC88CCC|EVT_ROAD_INTERRUPTION|EVT_VEHICLE_BACKLOG|EVT_TRAFFIC_ACCIDENT,TRIGGERS,维修人员操作不当,TMP_ACTI_018E4D53D5,MEA_CASE_7BB41D16D6,维修人员操作不当,,009_高速服务区维修区车辆碰撞事故_6645cebc,高速服务区维修区车辆碰撞事故,Event,Action,0.6200,因维修人员操作不当,交通应急处理案例3.txt,AUTO_MEDIUM
剐蹭,TMP_ACTI_8FD58500FC,MEA_CASE_0FB4540844,剐蹭,,REQUIRES,小型货车,TMP_RESO_4C03146FF9,RES_CASE_8D16A7E2EC,小型货车,,010_城市商圈周边道路多车剐蹭事故_6783f6a6,城市商圈周边道路多车剐蹭事故,Action,Resource,0.8000,一辆小型货车在变道时，与周边3辆小型轿车、1辆电动自行车发生剐蹭,交通应急处理案例3.txt,AUTO_MEDIUM
剐蹭,TMP_ACTI_8FD58500FC,MEA_CASE_0FB4540844,剐蹭,,REQUIRES,小型轿车,TMP_RESO_3693DCD301,RES_CASE_70407E27F9,小型轿车,,010_城市商圈周边道路多车剐蹭事故_6783f6a6,城市商圈周边道路多车剐蹭事故,Action,Resource,0.8000,一辆小型货车在变道时，与周边3辆小型轿车、1辆电动自行车发生剐蹭,交通应急处理案例3.txt,AUTO_MEDIUM
剐蹭,TMP_ACTI_8FD58500FC,MEA_CASE_0FB4540844,剐蹭,,REQUIRES,电动自行车,TMP_RESO_B268F6EEF6,RES_CASE_8AE47E20B6,电动自行车,,010_城市商圈周边道路多车剐蹭事故_6783f6a6,城市商圈周边道路多车剐蹭事故,Action,Resource,0.8000,一辆小型货车在变道时，与周边3辆小型轿车、1辆电动自行车发生剐蹭,交通应急处理案例3.txt,AUTO_MEDIUM
暴雨,TMP_EVEN_57A24EAEE0,EVT_RAINSTORM,暴雨,EVT_RAINSTORM,CAUSES,落石,TMP_EVEN_6192D0C838,EVT_CONSTRUCTION_ACCIDENT,公路工程建设事故,EVT_CONSTRUCTION_ACCIDENT|EVT_ROAD_EMERGENCY|EVT_PRODUCTION_ACCIDENT|EVT_CONSTRUCTION_SAFETY|EVT_ROAD_INTERRUPTION,011_山区公路落石阻断救援通道事故_9e199752,山区公路落石阻断救援通道事故,Event,Event,0.9500,因突发暴雨，山体掉落大量石块,交通应急处理案例3.txt,AUTO_HIGH
泄漏,TMP_ACTI_CDF87D3056,MEA_CASE_B04D39E895,泄漏,,REQUIRES,浓硫酸,TMP_RESO_D9498347E5,RES_CASE_B90EF464D4,浓硫酸,,012_危化品运输车应急停靠点泄漏事故_8d4da0d4,危化品运输车应急停靠点泄漏事故,Action,Resource,0.8500,一辆装载浓硫酸的罐式危化品运输车，因罐体阀门老化发生泄漏，浓硫酸泄漏至地面,交通应急处理案例3.txt,AUTO_HIGH
路面维修,TMP_ACTI_1F25184BD7,MEA_CASE_CC6AD1D7DA,路面维修,,REQUIRES,施工围挡,TMP_RESO_2FA54689B9,RES_CASE_76A0FC9D87,施工围挡,,013_城市快速路匝道施工事故_6325be8a,城市快速路匝道施工事故,Action,Resource,0.6000,施工单位在进行路面维修时，与施工围挡发生碰撞,交通应急处理案例3.txt,AUTO_MEDIUM
施工安全事故,TMP_EVEN_C8FB3D2454,EVT_CONSTRUCTION_SAFETY,施工安全事故,EVT_CONSTRUCTION_SAFETY|EVT_CONSTRUCTION_ACCIDENT|EVT_TRAFFIC_ACCIDENT,TRIGGERS,路面维修,TMP_ACTI_1F25184BD7,MEA_CASE_CC6AD1D7DA,路面维修,,013_城市快速路匝道施工事故_6325be8a,城市快速路匝道施工事故,Event,Action,0.6000,某城市快速路匝道施工区域，施工单位在进行路面维修时，因未设置专人疏导，一辆小型轿车不慎闯入施工区域,交通应急处理案例3.txt,AUTO_MEDIUM
车辆碰撞,TMP_EVEN_B670B2EF8D,EVT_ROAD_EMERGENCY,公路交通突发事件,EVT_ROAD_EMERGENCY|EVT_TRAFFIC_ACCIDENT,CAUSES,交通中断,TMP_EVEN_0AF3A5F4EB,EVT_ROAD_INTERRUPTION,公路中断,EVT_ROAD_INTERRUPTION,014_乡村田间道路拖拉机碰撞事故_649b4404,乡村田间道路拖拉机碰撞事故,Event,Event,0.9000,造成电动三轮车骑行者1人重伤、拖拉机驾驶员1人轻伤，电动三轮车完全损坏，田间土路交通中断，农作物散落路面，村民出行受阻。,交通应急处理案例3.txt,AUTO_HIGH
碰撞,TMP_ACTI_67C82DADEC,MEA_CASE_6B219E66DE,碰撞,,REQUIRES,拖拉机,TMP_RESO_CCEDED6F70,RES_CASE_C1E4441EF6,拖拉机,,014_乡村田间道路拖拉机碰撞事故_649b4404,乡村田间道路拖拉机碰撞事故,Action,Resource,0.8000,某乡村田间土路，一辆无牌拖拉机运输农作物，与一辆电动三轮车发生碰撞,交通应急处理案例3.txt,AUTO_MEDIUM
碰撞,TMP_ACTI_67C82DADEC,MEA_CASE_6B219E66DE,碰撞,,REQUIRES,电动三轮车,TMP_RESO_C08E5F7096,RES_CASE_D7EB68391B,电动三轮车,,014_乡村田间道路拖拉机碰撞事故_649b4404,乡村田间道路拖拉机碰撞事故,Action,Resource,0.8000,某乡村田间土路，一辆无牌拖拉机运输农作物，与一辆电动三轮车发生碰撞,交通应急处理案例3.txt,AUTO_MEDIUM
