case_id,case_title,object_type,object_name,object_role,risk_level,risk_reason,confidence,evidence,import_action
002_城市高架匝道货车侧翻货物散落事故_dc8ba489,城市高架匝道货车侧翻货物散落事故,entity,超载,Action,MEDIUM,action_weak_semantics,0.8000,一辆重型货车超载运输建材,kept_with_risk
003_乡村渡口车辆渡船碰撞事故_a7269e2d,乡村渡口车辆渡船碰撞事故,relation,渡船碰撞-TRIGGERS-事故调查,Event->Action,MEDIUM,relation_fallback_inferred,0.6200,依据《内河交通安全管理条例》开展事故调查,kept_with_risk
004_高速收费站车辆追尾引发火灾事故_1f1f3d01,高速收费站车辆追尾引发火灾事故,entity,灭火,Action,MEDIUM,action_weak_semantics,0.7500,使用灭火器进行初期灭火，采用泡沫消防车压制火势,kept_with_risk
010_城市商圈周边道路多车剐蹭事故_6783f6a6,城市商圈周边道路多车剐蹭事故,entity,剐蹭,Action,MEDIUM,action_weak_semantics,0.9500,发生剐蹭,kept_with_risk
010_城市商圈周边道路多车剐蹭事故_6783f6a6,城市商圈周边道路多车剐蹭事故,entity,小型货车,Resource,MEDIUM,resource_civilian_vehicle,0.9000,一辆小型货车,kept_with_risk
010_城市商圈周边道路多车剐蹭事故_6783f6a6,城市商圈周边道路多车剐蹭事故,entity,小型轿车,Resource,MEDIUM,resource_civilian_vehicle,0.9000,3辆小型轿车,kept_with_risk
010_城市商圈周边道路多车剐蹭事故_6783f6a6,城市商圈周边道路多车剐蹭事故,entity,电动自行车,Resource,MEDIUM,resource_civilian_vehicle,0.9000,1辆电动自行车,kept_with_risk
012_危化品运输车应急停靠点泄漏事故_8d4da0d4,危化品运输车应急停靠点泄漏事故,entity,浓硫酸,Resource,MEDIUM,resource_weak_semantics,0.9500,装载浓硫酸的罐式危化品运输车,kept_with_risk
012_危化品运输车应急停靠点泄漏事故_8d4da0d4,危化品运输车应急停靠点泄漏事故,entity,泄漏,Action,MEDIUM,action_weak_semantics,0.8500,因罐体阀门老化发生泄漏,kept_with_risk
012_危化品运输车应急停靠点泄漏事故_8d4da0d4,危化品运输车应急停靠点泄漏事故,entity,中和,Action,MEDIUM,action_weak_semantics,0.8000,用中和剂处理泄漏浓硫酸,kept_with_risk
013_城市快速路匝道施工事故_6325be8a,城市快速路匝道施工事故,entity,路面维修,Action,MEDIUM,action_weak_semantics,0.8000,施工单位在进行路面维修时,kept_with_risk
013_城市快速路匝道施工事故_6325be8a,城市快速路匝道施工事故,entity,施工围挡,Resource,MEDIUM,resource_weak_semantics,0.9000,与施工围挡发生碰撞，围挡倒塌,kept_with_risk
014_乡村田间道路拖拉机碰撞事故_649b4404,乡村田间道路拖拉机碰撞事故,entity,拖拉机,Resource,MEDIUM,resource_weak_semantics,0.9500,一辆无牌拖拉机,kept_with_risk
014_乡村田间道路拖拉机碰撞事故_649b4404,乡村田间道路拖拉机碰撞事故,entity,电动三轮车,Resource,MEDIUM,resource_weak_semantics,0.9500,一辆电动三轮车,kept_with_risk
