case_id,case_title,entity_temp_id,entity_name,entity_type,resolution_type,final_entity_id,final_entity_name,is_new_entity,primary_event_id,primary_event_name,expanded_event_ids,expanded_event_names,alias_patch_target_ids,alias_patch_target_names,import_eligible,import_skip_reason,evidence,confidence
002_连霍高速洛阳段货车侧翻货物散落事故_b2d03a8f,连霍高速洛阳段货车侧翻货物散落事故,TMP_EVEN_1246DFBD7C,车辆侧翻,Event,new_event_with_expansions,EVT_CASE_9CC62EF2EB,车辆侧翻,true,EVT_CASE_9CC62EF2EB,车辆侧翻,EVT_VEHICLE_BACKLOG|EVT_ROAD_BLOCKAGE|EVT_TRAFFIC_ACCIDENT,车辆积压|公路阻塞|交通事故,EVT_VEHICLE_BACKLOG|EVT_ROAD_BLOCKAGE|EVT_TRAFFIC_ACCIDENT,车辆积压|公路阻塞|交通事故,true,,连霍高速洛阳段K682公里处，一辆装载瓷砖的重型货车，因驾驶员操作不当，在高速出口匝道处发生侧翻,0.9000
002_连霍高速洛阳段货车侧翻货物散落事故_b2d03a8f,连霍高速洛阳段货车侧翻货物散落事故,TMP_EVEN_1128BAD584,瓷砖散落,Event,new_event,EVT_CASE_04E49A0DEE,瓷砖散落,true,EVT_CASE_04E49A0DEE,瓷砖散落,,,,,true,,车载瓷砖全部散落至行车道与应急车道,0.8000
003_城市主干道公交车与电动车碰撞事故_a4b4dfcf,城市主干道公交车与电动车碰撞事故,TMP_EVEN_14E22A3246,交通碰撞,Event,new_event_with_expansions,EVT_CASE_9DD0BDA4CE,交通碰撞,true,EVT_CASE_9DD0BDA4CE,交通碰撞,EVT_TRAFFIC_ACCIDENT,交通事故,EVT_TRAFFIC_ACCIDENT,交通事故,true,,一辆公交车在绿灯通行时，与闯红灯的电动自行车发生碰撞,0.9000
003_城市主干道公交车与电动车碰撞事故_a4b4dfcf,城市主干道公交车与电动车碰撞事故,TMP_EVEN_9C06F17B38,车辆积压,Event,alias_match,EVT_VEHICLE_BACKLOG,车辆积压,false,EVT_VEHICLE_BACKLOG,车辆积压,,,,,true,,路口双向交通拥堵，周边3个路口出现车辆滞留,0.7000
004_山区公路滑坡阻断交通事故_63a86176,山区公路滑坡阻断交通事故,TMP_EVEN_D5553AB3ED,道路滑坡,Event,new_event_with_expansions,EVT_CASE_7ABA9AF1E4,道路滑坡,true,EVT_CASE_7ABA9AF1E4,道路滑坡,EVT_ROAD_INTERRUPTION|EVT_ROAD_DAMAGE|EVT_ROAD_BLOCKAGE,公路中断|公路损毁|公路阻塞,EVT_ROAD_INTERRUPTION|EVT_ROAD_DAMAGE|EVT_ROAD_BLOCKAGE,公路中断|公路损毁|公路阻塞,true,,因连续多日降雨，山体发生小型滑坡，大量泥土、石块滚落至路面，将整个道路完全阻断,0.9000
004_山区公路滑坡阻断交通事故_63a86176,山区公路滑坡阻断交通事故,TMP_RESO_A516D5049E,挖掘机,Resource,existing_match,RES_EXCAVATOR,挖掘机,false,,,,,,,true,,调用挖掘机、装载机等设备，清理路面滑坡体,0.7000
004_山区公路滑坡阻断交通事故_63a86176,山区公路滑坡阻断交通事故,TMP_RESO_B7BF821148,装载机,Resource,existing_match,RES_LOADER,装载机,false,,,,,,,true,,调用挖掘机、装载机等设备，清理路面滑坡体,0.7000
004_山区公路滑坡阻断交通事故_63a86176,山区公路滑坡阻断交通事故,TMP_ACTI_5581AE5DDC,救援,Action,new_entity,MEA_CASE_4DEF057716,救援,true,,,,,,,true,,救援人员成功解救被困驾驶员,0.6000
005_高速服务区车辆起火事故_dac6bbf7,高速服务区车辆起火事故,TMP_EVEN_75EAF05C81,车辆起火,Event,new_event_with_expansions,EVT_CASE_09C02D083D,车辆起火,true,EVT_CASE_09C02D083D,车辆起火,EVT_TRAFFIC_ACCIDENT,交通事故,EVT_TRAFFIC_ACCIDENT,交通事故,true,,一辆小型轿车在停车场内充电时，因电池短路引发起火，火势迅速蔓延至车辆全身,0.9800
005_高速服务区车辆起火事故_dac6bbf7,高速服务区车辆起火事故,TMP_ACTI_C2234C337F,电池短路,Action,new_entity,MEA_CASE_5E9CDA061E,电池短路,true,,,,,,,true,,因电池短路引发起火,0.9500
