start_id,end_id,relation_type,case_id,case_title,missing_type
EVT_CASE_B9F7125E79,EVT_CASE_4D219D5D07,CAUSES,001_京港澳高速漯河段多车连环追尾事故_e0fe5421,京港澳高速漯河段多车连环追尾事故,both_missing
EVT_CASE_4D219D5D07,EVT_CASE_436A2F6617,CAUSES,001_京港澳高速漯河段多车连环追尾事故_e0fe5421,京港澳高速漯河段多车连环追尾事故,both_missing
EVT_CASE_4D219D5D07,EVT_CASE_3B6CFC25B4,CAUSES,001_京港澳高速漯河段多车连环追尾事故_e0fe5421,京港澳高速漯河段多车连环追尾事故,start_missing
MEA_CASE_641D68DEBE,RES_CASE_05C13962FE,REQUIRES,002_城市隧道内危化品车追尾泄漏事故_1606f9a2,城市隧道内危化品车追尾泄漏事故,end_missing
EVT_METEO_ROAD,EVT_CASE_76C2F46F5E,CAUSES,004_暴雨天气城市道路积水交通事故_2e78a65f,暴雨天气城市道路积水交通事故,end_missing
EVT_METEO_ROAD,EVT_CASE_987220FC67,CAUSES,004_暴雨天气城市道路积水交通事故_2e78a65f,暴雨天气城市道路积水交通事故,end_missing
EVT_HAZMAT_LEAK,MEA_CASE_3FC63D4C10,TRIGGERS,005_高速公路危化品车起火爆燃事故_13d4651b,高速公路危化品车起火爆燃事故,end_missing
EVT_HAZMAT_LEAK,MEA_CASE_0A481121C2,TRIGGERS,005_高速公路危化品车起火爆燃事故_13d4651b,高速公路危化品车起火爆燃事故,end_missing
EVT_HAZMAT_LEAK,EVT_CASE_08CBE00F4D,CAUSES,005_高速公路危化品车起火爆燃事故_13d4651b,高速公路危化品车起火爆燃事故,end_missing
EVT_CASE_2C5A382799,EVT_MAJOR_BRIDGE_ACCIDENT,CAUSES,007_高架道路车辆冲撞护栏坠桥事故_47596a34,高架道路车辆冲撞护栏坠桥事故,start_missing
EVT_CASE_51C41B32E7,EVT_CASE_436A2F6617,CAUSES,008_冰雪天气高速公路车辆侧滑碰撞事故_35ff869e,冰雪天气高速公路车辆侧滑碰撞事故,both_missing
EVT_CASE_C942A70A78,EVT_CASE_51C41B32E7,CAUSES,008_冰雪天气高速公路车辆侧滑碰撞事故_35ff869e,冰雪天气高速公路车辆侧滑碰撞事故,both_missing
MEA_CASE_C8E4DC71F6,RES_CASE_F1D0288F3D,REQUIRES,009_港口道路危化品运输车倾覆泄漏事故_ace2077d,港口道路危化品运输车倾覆泄漏事故,both_missing
EVT_HAZMAT_LEAK,MEA_CASE_C8E4DC71F6,TRIGGERS,009_港口道路危化品运输车倾覆泄漏事故_ace2077d,港口道路危化品运输车倾覆泄漏事故,end_missing
