id:ID,name,entity_type_cn,:LABEL
EVT_CASE_4D219D5D07,追尾事故,突发事件,PlanEntity;Event
EVT_CASE_B9F7125E79,团雾,突发事件,PlanEntity;Event
EVT_CASE_436A2F6617,交通中断,突发事件,PlanEntity;Event
EVT_CASE_3B6CFC25B4,车辆滞留,突发事件,PlanEntity;Event
EVT_CASE_27A1F93878,隧道通风系统受损,突发事件,PlanEntity;Event
MEA_CASE_6933DFD8F9,事故调查,措施,PlanEntity;Action
EVT_RAINSTORM,暴雨,突发事件,PlanEntity;Event
EVT_CASE_76C2F46F5E,车辆被困,突发事件,PlanEntity;Event
EVT_CASE_987220FC67,车辆抛锚,突发事件,PlanEntity;Event
EVT_CASE_E1C4A193C7,危化品运输车辆起火爆燃事故,突发事件,PlanEntity;Event
EVT_CASE_C003971FA8,起火爆燃,突发事件,PlanEntity;Event
EVT_CASE_9CC62EF2EB,车辆侧翻,突发事件,PlanEntity;Event
MEA_CASE_0B78E0C051,超速行驶,措施,PlanEntity;Action
MEA_CASE_3C5FBE6A21,车辆冲撞护栏,措施,PlanEntity;Action
RES_CASE_6C085FD5C2,高架护栏,应急资源,PlanEntity;Resource
EVT_CASE_51C41B32E7,车辆侧滑碰撞,突发事件,PlanEntity;Event
EVT_CASE_C942A70A78,路面结冰,突发事件,PlanEntity;Event
MEA_CASE_39D13A1B81,堵漏,措施,PlanEntity;Action
MEA_CASE_87C818ACA4,采样监测,措施,PlanEntity;Action
MEA_CASE_B8E6D970FB,现场处置,措施,PlanEntity;Action
MEA_CASE_B804A6CFD8,疏导,措施,PlanEntity;Action
MEA_CASE_1F94E0BD1F,安全转运,措施,PlanEntity;Action
MEA_CASE_4ED673EE27,清理和腐蚀修复,措施,PlanEntity;Action
