id:ID,name,entity_type_cn,:LABEL
EVT_CASE_9CC62EF2EB,车辆侧翻,突发事件,PlanEntity;Event
EVT_CASE_04E49A0DEE,瓷砖散落,突发事件,PlanEntity;Event
EVT_CASE_9DD0BDA4CE,交通碰撞,突发事件,PlanEntity;Event
MEA_CASE_4DEF057716,救援,措施,PlanEntity;Action
EVT_CASE_09C02D083D,车辆起火,突发事件,PlanEntity;Event
MEA_CASE_5E9CDA061E,电池短路,措施,PlanEntity;Action
RES_CASE_70407E27F9,小型轿车,应急资源,PlanEntity;Resource
MEA_CASE_6BA428A393,正面碰撞,措施,PlanEntity;Action
EVT_CASE_4D219D5D07,追尾事故,突发事件,PlanEntity;Event
MEA_CASE_72BE7C7A01,急刹车,措施,PlanEntity;Action
EVT_CASE_5DC52E598D,油路泄漏,突发事件,PlanEntity;Event
EVT_CASE_CEA9425D82,车辆碰撞行人,突发事件,PlanEntity;Event
MEA_CASE_6B219E66DE,碰撞,措施,PlanEntity;Action
EVT_CASE_60EF6773FA,道路塌陷,突发事件,PlanEntity;Event
EVT_RAINSTORM,暴雨,突发事件,PlanEntity;Event
MEA_CASE_29AB47FA07,启动应急预案,措施,PlanEntity;Action
MEA_CASE_A6CD658948,驾驶员疲劳驾驶,措施,PlanEntity;Action
EVT_CASE_911BCF600E,道路交通碰撞,突发事件,PlanEntity;Event
MEA_CASE_CF67B7CA0F,闯红灯,措施,PlanEntity;Action
RES_CASE_7BEA479A9E,重型货车,应急资源,PlanEntity;Resource
EVT_CASE_B6D073864B,道路交通拥堵,突发事件,PlanEntity;Event
EVT_CASE_D11990E045,客车坠崖,突发事件,PlanEntity;Event
MEA_CASE_1F23D49938,驾驶员超速行驶,措施,PlanEntity;Action
RES_CASE_8D16A7E2EC,小型货车,应急资源,PlanEntity;Resource
RES_CASE_D7EB68391B,电动三轮车,应急资源,PlanEntity;Resource
RES_CASE_EF8A921669,液压扩张器,应急资源,PlanEntity;Resource
MEA_CASE_CE138D0F05,设置警戒标志,措施,PlanEntity;Action
MEA_CASE_1BCFC5476A,疏散,措施,PlanEntity;Action
MEA_CASE_CEEE944B99,解救,措施,PlanEntity;Action
EVT_CASE_D04013D35F,危化品车罐体爆炸,突发事件,PlanEntity;Event
EVT_CASE_FF7FD44A64,危化品泄漏,突发事件,PlanEntity;Event
MEA_CASE_8D1B3BF475,车辆追尾,措施,PlanEntity;Action
EVT_CASE_F5EC6BBB9F,爆炸,突发事件,PlanEntity;Event
MEA_CASE_F35658E3CB,桥梁护栏维修作业,措施,PlanEntity;Action
RES_CASE_0386693A3A,工程车,应急资源,PlanEntity;Resource
EVT_CASE_51C41B32E7,车辆侧滑碰撞,突发事件,PlanEntity;Event
MEA_CASE_7719C4F54E,车辆侧滑,措施,PlanEntity;Action
EVT_CASE_6F7A2A4A6F,加油站火灾,突发事件,PlanEntity;Event
MEA_CASE_F1317D2147,违规吸烟,措施,PlanEntity;Action
EVT_CASE_987220FC67,车辆抛锚,突发事件,PlanEntity;Event
RES_CASE_8DF04046F3,清障车,应急资源,PlanEntity;Resource
MEA_CASE_F85C37DD34,拖移,措施,PlanEntity;Action
MEA_CASE_52D03C4670,处罚,措施,PlanEntity;Action
EVT_CASE_3F8D579860,泄漏,突发事件,PlanEntity;Event
EVT_CASE_AF7628B03F,落石砸车,突发事件,PlanEntity;Event
EVT_CASE_F942FD2EE9,高速追尾事故,突发事件,PlanEntity;Event
EVT_CASE_091BB1089D,火灾,突发事件,PlanEntity;Event
EVT_CASE_85237B46E2,交通拥堵,突发事件,PlanEntity;Event
EVT_CASE_DE8891D1DD,校车与货车碰撞,突发事件,PlanEntity;Event
EVT_CASE_F4AFE9A596,车辆剐蹭,突发事件,PlanEntity;Event
EVT_CASE_028CA28AE4,车辆拥堵,突发事件,PlanEntity;Event
EVT_CASE_106C22F38E,路面积水,突发事件,PlanEntity;Event
MEA_CASE_39D13A1B81,堵漏,措施,PlanEntity;Action
MEA_CASE_F2C178773D,清理,措施,PlanEntity;Action
MEA_CASE_A048795819,超载,措施,PlanEntity;Action
EVT_CASE_0A5C5DEE74,道路交通安全法,突发事件,PlanEntity;Event
ORG_CASE_C08151231F,交警部门,部门,PlanEntity;Department
ORG_CASE_B6CBD41599,交通部门,部门,PlanEntity;Department
MEA_CASE_03349F59B0,停止施工,措施,PlanEntity;Action
MEA_CASE_C2D9BE1EAA,现场勘查,措施,PlanEntity;Action
MEA_CASE_12987E1F14,整改安全隐患,措施,PlanEntity;Action
RES_CASE_325A82726F,护栏,应急资源,PlanEntity;Resource
MEA_CASE_72E84ECB20,道路封闭,措施,PlanEntity;Action
MEA_CASE_0B78E0C051,超速行驶,措施,PlanEntity;Action
