case_id,case_title,entity_temp_id,entity_name,entity_type,resolution_type,final_entity_id,final_entity_name,is_new_entity,primary_event_id,primary_event_name,expanded_event_ids,expanded_event_names,alias_patch_target_ids,alias_patch_target_names,import_eligible,import_skip_reason,evidence,confidence
001_连霍高速洛阳段货车侧翻货物散落事故_b2d03a8f,连霍高速洛阳段货车侧翻货物散落事故,TMP_EVEN_1DE39DC937,车辆侧翻,Event,alias_match_with_expansions,EVT_ROAD_DAMAGE,公路损毁,false,EVT_ROAD_DAMAGE,公路损毁,EVT_TRAFFIC_ACCIDENT,交通事故,,,true,,连霍高速洛阳段K682公里处，一辆装载瓷砖的重型货车，因驾驶员操作不当，在高速出口匝道处发生侧翻,0.9000
001_连霍高速洛阳段货车侧翻货物散落事故_b2d03a8f,连霍高速洛阳段货车侧翻货物散落事故,TMP_EVEN_A7199EC63F,瓷砖散落,Event,new_event,EVT_CASE_04E49A0DEE,瓷砖散落,true,EVT_CASE_04E49A0DEE,瓷砖散落,,,,,true,,车载瓷砖全部散落至行车道与应急车道,0.8500
002_城市主干道公交车与电动车碰撞事故_a4b4dfcf,城市主干道公交车与电动车碰撞事故,TMP_EVEN_5DA951A4EE,道路交通事故,Event,alias_match_with_expansions,EVT_TRAFFIC_ACCIDENT,交通事故,false,EVT_TRAFFIC_ACCIDENT,交通事故,EVT_ROAD_EMERGENCY,公路交通突发事件,,,true,,某市繁华主干道交叉路口，一辆公交车在绿灯通行时，与闯红灯的电动自行车发生碰撞,0.9000
002_城市主干道公交车与电动车碰撞事故_a4b4dfcf,城市主干道公交车与电动车碰撞事故,TMP_RESO_2C9EEB11EE,电动自行车,Resource,new_entity,RES_CASE_8AE47E20B6,电动自行车,true,,,,,,,true,,电动自行车,0.9500
002_城市主干道公交车与电动车碰撞事故_a4b4dfcf,城市主干道公交车与电动车碰撞事故,TMP_ACTI_808B3EBFA6,闯红灯,Action,new_entity,MEA_CASE_CF67B7CA0F,闯红灯,true,,,,,,,true,,闯红灯的电动自行车,0.8000
002_城市主干道公交车与电动车碰撞事故_a4b4dfcf,城市主干道公交车与电动车碰撞事故,TMP_ACTI_5F4AD31C15,封锁现场,Action,new_entity,MEA_CASE_7880553438,封锁现场,true,,,,,,,true,,立即封锁事故现场,0.8000
002_城市主干道公交车与电动车碰撞事故_a4b4dfcf,城市主干道公交车与电动车碰撞事故,TMP_ACTI_52C991F60F,疏散群众,Action,new_entity,MEA_CASE_96C3E54EF1,疏散群众,true,,,,,,,true,,疏散围观群众,0.8000
002_城市主干道公交车与电动车碰撞事故_a4b4dfcf,城市主干道公交车与电动车碰撞事故,TMP_ACTI_41A32B395F,疏导交通,Action,new_entity,MEA_CASE_2216349A64,疏导交通,true,,,,,,,true,,疏导过往车辆绕行,0.8000
002_城市主干道公交车与电动车碰撞事故_a4b4dfcf,城市主干道公交车与电动车碰撞事故,TMP_ACTI_0D8D4BBB17,现场勘查,Action,new_entity,MEA_CASE_C2D9BE1EAA,现场勘查,true,,,,,,,true,,开展现场勘查,0.8000
002_城市主干道公交车与电动车碰撞事故_a4b4dfcf,城市主干道公交车与电动车碰撞事故,TMP_ACTI_67220CD8FD,责任认定,Action,new_entity,MEA_CASE_3BEB23D29A,责任认定,true,,,,,,,true,,责任认定,0.8000
002_城市主干道公交车与电动车碰撞事故_a4b4dfcf,城市主干道公交车与电动车碰撞事故,TMP_ACTI_C8B1A08BEA,紧急止血,Action,new_entity,MEA_CASE_BFD0731CF4,紧急止血,true,,,,,,,true,,紧急止血,0.8000
002_城市主干道公交车与电动车碰撞事故_a4b4dfcf,城市主干道公交车与电动车碰撞事故,TMP_ACTI_7AF2BD36CF,包扎,Action,new_entity,MEA_CASE_D3FB3C9BCF,包扎,true,,,,,,,true,,包扎,0.8000
002_城市主干道公交车与电动车碰撞事故_a4b4dfcf,城市主干道公交车与电动车碰撞事故,TMP_ACTI_41AC152B07,转运至医院,Action,new_entity,MEA_CASE_4B758383A5,转运至医院,true,,,,,,,true,,转运至医院抢救,0.8000
003_山区公路滑坡阻断交通事故_63a86176,山区公路滑坡阻断交通事故,TMP_EVEN_B1A1B9ED81,道路滑坡,Event,new_event_with_expansions,EVT_CASE_7ABA9AF1E4,道路滑坡,true,EVT_CASE_7ABA9AF1E4,道路滑坡,EVT_METEO_ROAD|EVT_ROAD_DAMAGE|EVT_ROAD_BLOCKAGE,公路气象灾害|公路损毁|公路阻塞,EVT_METEO_ROAD|EVT_ROAD_DAMAGE|EVT_ROAD_BLOCKAGE,公路气象灾害|公路损毁|公路阻塞,true,,因连续多日降雨，山体发生小型滑坡，大量泥土、石块滚落至路面，将整个道路完全阻断,0.9000
003_山区公路滑坡阻断交通事故_63a86176,山区公路滑坡阻断交通事故,TMP_EVEN_B06FB8F6D5,滑坡,Event,new_event,EVT_CASE_69E1689420,滑坡,true,EVT_CASE_69E1689420,滑坡,,,,,true,,山体发生小型滑坡,0.9500
004_高速服务区车辆起火事故_dac6bbf7,高速服务区车辆起火事故,TMP_EVEN_C4AA37DBD9,车辆起火,Event,new_event_with_expansions,EVT_CASE_09C02D083D,车辆起火,true,EVT_CASE_09C02D083D,车辆起火,EVT_TRAFFIC_ACCIDENT,交通事故,EVT_TRAFFIC_ACCIDENT,交通事故,true,,一辆小型轿车在停车场内充电时，因电池短路引发起火，火势迅速蔓延至车辆全身,0.9000
005_危化品运输车与私家车碰撞泄漏事故_9a2ba735,危化品运输车与私家车碰撞泄漏事故,TMP_EVEN_2808DC693D,危险化学品泄漏事故,Event,alias_match_with_expansions,EVT_HAZMAT_LEAK,危险化学品运输泄漏事件,false,EVT_HAZMAT_LEAK,危险化学品运输泄漏事件,EVT_HAZMAT_ACCIDENT|EVT_TRAFFIC_ACCIDENT,危险货物运输事故|交通事故,EVT_HAZMAT_LEAK,危险化学品运输泄漏事件,true,,危化品运输罐体轻微破损，液态氨少量泄漏，产生白色烟雾，现场气味刺鼻,0.9000
005_危化品运输车与私家车碰撞泄漏事故_9a2ba735,危化品运输车与私家车碰撞泄漏事故,TMP_RESO_9B322270D5,液态氨,Resource,new_entity,RES_CASE_752564BE64,液态氨,true,,,,,,,true,,装载液态氨的罐式危化品运输车，液态氨少量泄漏,0.9500
005_危化品运输车与私家车碰撞泄漏事故_9a2ba735,危化品运输车与私家车碰撞泄漏事故,TMP_RESO_0A16C772A4,私家车,Resource,new_entity,RES_CASE_E88979D653,私家车,true,,,,,,,true,,与一辆逆行的私家车发生正面碰撞,0.9000
005_危化品运输车与私家车碰撞泄漏事故_9a2ba735,危化品运输车与私家车碰撞泄漏事故,TMP_ACTI_B5B986D621,正面碰撞,Action,new_entity,MEA_CASE_6BA428A393,正面碰撞,true,,,,,,,true,,与一辆逆行的私家车发生正面碰撞,0.8500
005_危化品运输车与私家车碰撞泄漏事故_9a2ba735,危化品运输车与私家车碰撞泄漏事故,TMP_ACTI_603DDF0AB1,堵漏,Action,new_entity,MEA_CASE_39D13A1B81,堵漏,true,,,,,,,true,,对泄漏点进行堵漏,0.8000
005_危化品运输车与私家车碰撞泄漏事故_9a2ba735,危化品运输车与私家车碰撞泄漏事故,TMP_ACTI_02EDE27F45,稀释,Action,new_entity,MEA_CASE_00EC36C353,稀释,true,,,,,,,true,,稀释泄漏的液态氨,0.8000
005_危化品运输车与私家车碰撞泄漏事故_9a2ba735,危化品运输车与私家车碰撞泄漏事故,TMP_ACTI_6AA9344783,转运,Action,new_entity,MEA_CASE_F9A9A6FAD1,转运,true,,,,,,,true,,对剩余液态氨进行安全转运,0.8000
005_危化品运输车与私家车碰撞泄漏事故_9a2ba735,危化品运输车与私家车碰撞泄漏事故,TMP_ACTI_06912F43CA,事故调查,Action,new_entity,MEA_CASE_6933DFD8F9,事故调查,true,,,,,,,true,,依据《危险化学品安全管理条例》开展事故调查,0.8000
006_城市快速路多车追尾事故_91cf4a2e,城市快速路多车追尾事故,TMP_EVEN_40C63FCEBB,多车追尾,Event,new_event_with_expansions,EVT_CASE_2694273A46,多车追尾,true,EVT_CASE_2694273A46,多车追尾,EVT_TRAFFIC_ACCIDENT,交通事故,EVT_TRAFFIC_ACCIDENT,交通事故,true,,一辆小型轿车因急刹车，导致后方5辆轿车、2辆SUV发生连环追尾,0.9000
006_城市快速路多车追尾事故_91cf4a2e,城市快速路多车追尾事故,TMP_ACTI_7DC1518650,急刹车,Action,new_entity,MEA_CASE_72BE7C7A01,急刹车,true,,,,,,,true,,一辆小型轿车因急刹车,0.8000
006_城市快速路多车追尾事故_91cf4a2e,城市快速路多车追尾事故,TMP_EVEN_15AFA76B38,油路泄漏,Event,new_event,EVT_CASE_5DC52E598D,油路泄漏,true,EVT_CASE_5DC52E598D,油路泄漏,,,,,true,,部分车辆因碰撞出现油路泄漏,0.7000
007_乡村道路拖拉机与行人碰撞事故_7fd0535a,乡村道路拖拉机与行人碰撞事故,TMP_EVEN_2D3ED8087A,车辆碰撞行人,Event,new_event_with_expansions,EVT_CASE_CEA9425D82,车辆碰撞行人,true,EVT_CASE_CEA9425D82,车辆碰撞行人,EVT_ROAD_EMERGENCY,公路交通突发事件,EVT_ROAD_EMERGENCY,公路交通突发事件,true,,一辆无牌拖拉机装载农作物，因驾驶员未观察前方路况，行驶中与路边行走的2名老人发生碰撞,0.9000
007_乡村道路拖拉机与行人碰撞事故_7fd0535a,乡村道路拖拉机与行人碰撞事故,TMP_ACTI_15F46FE2E1,碰撞,Action,new_entity,MEA_CASE_6B219E66DE,碰撞,true,,,,,,,true,,发生碰撞,0.9000
