run_id,run_time,sample_id,group_id,retrieval_mode,agent_mode,enable_review,enable_revision,model_name,latency_ms,input_tokens,output_tokens,total_tokens,approved_like,executability_score,safety_score,constraint_alignment_score,evidence_grounding_score,total_score,rule_total_score,score_backend,llm_judge_enabled,llm_judge_success,llm_judge_weight,llm_judge_model,llm_executability_score,llm_safety_score,llm_compliance_score,llm_overall_score,llm_judge_reason,llm_judge_error,constraint_coverage,critical_miss_rate,has_forbidden_action,critical_action_missed,missing_actions_count,violated_constraints_count,evidence_hit_count,notes
R20260410141249,2026-04-10T14:12:49,S004,G5,dual,multi_with_review,1,1,gemma-3-27b-it,140279,0,0,0,1,0.9,0.8,0.9,0.7,0.85,0.88,llm,1,1,0.6,xopdeepseekv32,0.9,0.7,1.0,0.85,方案步骤完整、可执行，联动机制清晰。主要扣分在安全方面，未明确提及对持续暴雨、水位变化的监测预警，以及对车辆漏电、二次事故等风险的针对性控制。,,0.9,0.0,0,0,0,0,2,方案整体清晰，步骤合理，符合应急响应流程，并考虑了多部门联动。但在安全方面，对积水深度的持续监测和二次风险评估不足。合规性较高，引用了相关法律法规和预案。方案在可执行性方面表现良好，但缺乏对资源调配的细节描述。
R20260410141249,2026-04-10T14:12:49,S005,G5,dual,multi_with_review,1,1,gemma-3-27b-it,127866,0,0,0,1,0.8,0.7,0.8,0.6,0.85,0.93,llm,1,1,0.6,xopdeepseekv32,0.85,0.65,0.9,0.75,方案流程完整合规，步骤清晰。但安全方面有欠缺：优先处理的是车辆驾驶员，而对已知受伤的2名路边行人（砸伤）的救治安排未明确说明，存在伤员处置疏漏风险。可执行性较好，但资源调度细节可加强。,,0.8,0.0,0,0,0,0,1,方案整体清晰，步骤合理，符合交通应急处理的基本流程，并引用了相关法律法规。但在安全方面，对伤员救治的优先级和细节描述不足，可能存在风险。方案在可执行性方面略有欠缺，缺少对资源调度的具体时间节点和责任分工。
R20260410141249,2026-04-10T14:12:49,S008,G5,dual,multi_with_review,1,1,gemma-3-27b-it,140601,0,0,0,1,0.85,0.75,0.8,0.6,0.83,0.85,llm,1,1,0.6,xopdeepseekv32,0.85,0.75,0.9,0.83,方案步骤具体完整，部门职责清晰，符合法规预案。但对现场大量围观群众疏散及心理安抚考虑不足，存在次生风险隐患。,,0.8,0.0,0,0,0,0,1,方案整体清晰，步骤合理，符合交通应急处理的基本流程。考虑到了伤员救治、现场安全和交通恢复三个关键方面，并明确了所需资源和法律依据。但方案在安全方面略有不足，未充分考虑围观群众的疏散和心理安抚，以及对公交车乘客的后续安排。方案在疏导交通方面较为笼统，缺乏具体的实施细节。
R20260410141249,2026-04-10T14:12:49,S009,G5,dual,multi_with_review,1,1,gemma-3-27b-it,161442,0,0,0,1,0.85,0.9,0.8,0.75,0.83,0.83,llm,1,1,0.6,xopdeepseekv32,0.8,0.8,0.9,0.83,方案步骤清晰，职责明确，符合法规，考虑了通信、风险控制、救援与疏导。但通信方案较为单一，清理时限设定对被困人员紧急需求考虑不足，未明确优先救人步骤。,,0.8,0.0,0,0,0,0,2,方案基本合理，覆盖了应急响应、风险评估、救援、恢复交通等关键环节，并考虑了人员安全和心理疏导。但方案在时间节点上略显宽松，且对通信恢复的方案较为单一，缺乏备选方案。部分步骤缺乏明确的责任单位划分。
R20260410141249,2026-04-10T14:12:49,S010,G5,dual,multi_with_review,1,1,gemma-3-27b-it,97114,0,0,0,1,0.9,0.95,0.9,0.8,0.96,0.88,llm,1,1,0.6,xopdeepseekv32,0.95,0.95,0.98,0.96,方案步骤明确、具体、完整，覆盖了警戒、疏散、灭火、冷却、交通管制和信息发布等关键环节。高度关注了火势蔓延、加油站和人群安全等风险，措施得当。严格遵循了相关法律法规和应急预案要求。,,0.9,0.0,0,0,0,0,2,方案整体清晰、可执行，并充分考虑了安全风险和合规性要求。步骤较为完整，涵盖了封锁、疏散、灭火、冷却、交通管制、调查等关键环节。但方案在细节上仍有提升空间，例如对加油站的保护措施可以更具体，疏散方案可以更细化。
R20260410141249,2026-04-10T14:12:49,S012,G5,dual,multi_with_review,1,1,gemma-3-27b-it,131015,0,0,0,1,0.85,0.9,0.9,0.7,0.86,0.85,llm,1,1,0.6,xopdeepseekv32,0.9,0.75,0.95,0.86,方案步骤完整、具体、可执行，无明显口号。在安全方面考虑了起火和油污控制，但未明确提及事故现场警戒以防二次事故，存在不足。完全遵守了相关法律法规和应急预案。,,0.9,0.0,0,0,0,0,1,方案整体清晰，步骤合理，基本符合交通应急处理流程和相关法规。但在安全方面，对油液泄漏的控制和二次事故的预防可以更细化。方案遵守了相关法律法规和应急预案，并考虑了资源需求和法律依据。
R20260410141249,2026-04-10T14:12:49,S013,G5,dual,multi_with_review,1,1,gemma-3-27b-it,122065,0,0,0,1,0.9,0.95,0.9,0.7,0.83,0.86,llm,1,1,0.6,xopdeepseekv32,0.7,0.6,0.9,0.83,方案步骤完整、权责清晰，合规性高。但对“通风系统排烟缓慢”的替代措施、浓烟与能见度下的人员搜救定位、以及大型车辆隧道火灾的特殊风险（如结构安全）控制措施不够具体，影响可执行性与安全性。,,0.9,0.0,0,0,0,0,1,方案整体清晰，步骤合理，覆盖了主要应急流程，并考虑了安全和合规性。但方案在风险评估和细节处理上仍有提升空间，例如对隧道结构安全评估的细化，以及对二次事故的预防措施的补充。
R20260410141249,2026-04-10T14:12:49,S017,G5,dual,multi_with_review,1,1,gemma-3-27b-it,149503,0,0,0,1,0.85,0.8,0.9,0.7,0.86,0.92,llm,1,1,0.6,xopdeepseekv32,0.8,0.7,0.9,0.86,步骤完整可执行，但风险控制不足，如缺乏对拥堵车辆尾部警示和具体防碾压措施。方案基本符合法规要求。,,0.9,0.0,0,0,0,0,1,方案整体清晰，步骤合理，覆盖了事故处理的主要环节，并考虑了次生风险。但安全措施略显不足，对拥堵的疏导力度可以进一步加强。方案符合相关法律法规和应急预案的要求。
R20260410141249,2026-04-10T14:12:49,S018,G5,dual,multi_with_review,1,1,gemma-3-27b-it,116810,0,0,0,1,0.85,0.9,0.9,0.7,0.9,0.85,llm,1,1,0.6,xopdeepseekv32,0.9,0.85,0.95,0.9,方案步骤清晰明确，职责分工具体，可执行性强。全面覆盖救援、警戒、防污染、打捞、无害化处理等关键环节。符合相关法律法规与应急预案要求。主要扣分项为污染风险由消防部门评估不合常规，但整体风险控制有效。,,0.9,0.0,0,0,0,0,1,方案整体清晰，步骤合理，覆盖了救援、污染防治和后续处理等关键环节。符合相关法律法规和应急预案要求。但在安全方面，对人员被困的具体情况评估不足，以及对渡口恢复通行的风险评估不够细致。方案可执行性较强，但仍有提升空间。
R20260410141249,2026-04-10T14:12:49,S022,G5,dual,multi_with_review,1,1,gemma-3-27b-it,119344,0,0,0,1,0.85,0.9,0.8,0.7,0.9,0.88,llm,1,1,0.6,xopdeepseekv32,0.9,0.9,0.9,0.9,方案步骤完整有序，覆盖现场控制、人员营救、伤员救治和善后处置。充分考虑了车辆二次翻滚、排水沟等主要风险，措施安全。方案符合交通应急法律法规和预案要求，可执行性强。,,0.8,0.0,0,0,0,0,1,方案整体清晰、可执行，并充分考虑了安全风险。步骤较为完整，覆盖了现场封锁、人员救援、伤员救治、交通恢复和隐患排查等关键环节。方案符合相关法律法规和应急预案要求。但方案在细节上仍有提升空间，例如对二次翻滚风险的评估和处置可以更加具体。
