id,实体类型,实体名称
EVT_ROAD_EMERGENCY,突发事件,公路交通突发事件
EVT_NATURAL_DISASTER,突发事件,自然灾害
EVT_FLOOD_DROUGHT,突发事件,水旱灾害
EVT_METEOROLOGICAL,突发事件,气象灾害
EVT_EARTHQUAKE,突发事件,地震灾害
EVT_GEOLOGICAL,突发事件,地质灾害
EVT_MARINE,突发事件,海洋灾害
EVT_BIOLOGICAL,突发事件,生物灾害
EVT_FOREST_GRASS_FIRE,突发事件,森林草原火灾
EVT_PRODUCTION_ACCIDENT,突发事件,公路交通运输生产事故
EVT_TRAFFIC_ACCIDENT,突发事件,交通事故
EVT_CONSTRUCTION_ACCIDENT,突发事件,公路工程建设事故
EVT_HAZMAT_ACCIDENT,突发事件,危险货物运输事故
EVT_PUBLIC_HEALTH,突发事件,公共卫生事件
EVT_PUBLIC_HEALTH,突发事件,重大突发公共卫生事件
EVT_INFECTIOUS_DISEASE,突发事件,传染病疫情
EVT_UNKNOWN_DISEASE,突发事件,群体性不明原因疾病
EVT_FOOD_OCCUPATIONAL,突发事件,食品安全和职业危害
EVT_ANIMAL_EPIDEMIC,突发事件,动物疫情
EVT_SOCIAL_SECURITY,突发事件,社会安全事件
EVT_TERROR_ATTACK,突发事件,恐怖袭击事件
EVT_ECONOMIC_SECURITY,突发事件,经济安全事件
EVT_FOREIGN_RELATED,突发事件,涉外突发事件
EVT_METEO_ROAD,突发事件,公路气象灾害
EVT_MAJOR_BRIDGE_ACCIDENT,突发事件,特大桥梁安全事故
EVT_LONG_TUNNEL_ACCIDENT,突发事件,特长隧道安全事故
EVT_CONSTRUCTION_SAFETY,突发事件,施工安全事故
EVT_FLOOD,突发事件,洪水
EVT_DAM_BREACH,突发事件,堤防决口与库区垮坝
EVT_TSUNAMI,突发事件,海啸灾害
EVT_STORM_SURGE,突发事件,风暴潮
EVT_ENVIRONMENT,突发事件,环境污染事件
EVT_ENVIRONMENT,突发事件,环境事件
EVT_HAZMAT_LEAK,突发事件,危险化学品运输泄漏事件
EVT_MAJOR_TRAFFIC_ACCIDENT,突发事件,重大恶性交通事故
EVT_STRONG_EARTHQUAKE,突发事件,强地震
EVT_SUDDEN_GEOLOGICAL,突发事件,突发地质灾害
EVT_TYPHOON,突发事件,台风
EVT_RAINSTORM,突发事件,暴雨
EVT_SNOW_DISASTER,突发事件,雪灾
EVT_HEAVY_FOG,突发事件,大雾
EVT_ROAD_ICE,突发事件,道路积冰
EVT_DUST_STORM,突发事件,沙尘暴
EVT_SUPPLY_SHORTAGE,突发事件,重要物资短缺
EVT_PRICE_SURGE,突发事件,物价大幅波动
EVT_EMERGENCY_MATERIAL_TRANSPORT,突发事件,紧急物资运输
EVT_ROAD_DAMAGE,突发事件,公路损毁
EVT_ROAD_INTERRUPTION,突发事件,公路中断
EVT_ROAD_BLOCKAGE,突发事件,公路阻塞
EVT_HUB_INTERRUPTION,突发事件,重要客运枢纽运行中断
EVT_PASSENGER_STRANDING,突发事件,旅客滞留
EVT_VEHICLE_BACKLOG,突发事件,车辆积压
LVL_I,事件级别,Ⅰ级（特别重大）
LVL_II,事件级别,Ⅱ级（重大）
LVL_III,事件级别,Ⅲ级（较大）
LVL_IV,事件级别,Ⅳ级（一般）
WARN_I,预警,Ⅰ级预警
WARN_II,预警,Ⅱ级预警
WARN_III,预警,Ⅲ级预警
WARN_IV,预警,Ⅳ级预警
RESP_I,响应,Ⅰ级应急响应
RESP_II,响应,Ⅱ级应急响应
RESP_III,响应,Ⅲ级应急响应
RESP_IV,响应,Ⅳ级应急响应
MEA_APPROVE_PLAN,措施,审定应急预案
MEA_APPROVE_BUDGET,措施,审定应急经费预算
MEA_START_WARN_I,措施,启动Ⅰ级预警
MEA_END_WARN_I,措施,终止Ⅰ级预警
MEA_START_RESP_I,措施,启动Ⅰ级应急响应
MEA_END_RESP_I,措施,终止Ⅰ级应急响应
MEA_ISSUE_COMMAND,措施,发布指挥调度命令
MEA_FORM_FIELD_TEAM,措施,成立现场工作组
MEA_MAKE_JOINT_PLAN,措施,制定联合行动方案
MEA_REPORT_FILES,措施,报送应急工作文件
MEA_REPAIR_AND_RECOVER,措施,组织公路抢修保通
MEA_DISPATCH_CROSS_PROVINCE_TEAM,措施,调度跨省应急队伍
MEA_ALLOCATE_EQUIPMENT,措施,调配应急机械及物资
MEA_PLAN_DETOUR,措施,拟定跨省公路绕行方案
MEA_IMPLEMENT_DETOUR,措施,实施跨省公路绕行
MEA_COORDINATE_SOCIAL_SUPPORT,措施,协调社会力量参与抢通
MEA_PLAN_RESCUE_SUBSIDY,措施,拟定抢险救灾资金补助方案
MEA_TRANSPORT_SUPPORT,措施,组织应急运输保障
MEA_COORDINATE_INTERMODAL,措施,协调联运
MEA_PLAN_TRANSPORT_COMPENSATION,措施,拟定应急运输征用补偿方案
MEA_COMMUNICATION_SUPPORT,措施,保障信息系统通信
MEA_VIDEO_COMM_SUPPORT,措施,保障电视电话会议通信
MEA_SEND_FILES,措施,下发应急工作文件
MEA_PREPARE_PRESS,措施,筹备新闻发布会
MEA_BRIEF_PROGRESS,措施,通报应急处置进展
MEA_PUBLICITY,措施,组织新闻宣传
MEA_LOGISTICS_SUPPORT,措施,开展24小时后勤保障
MEA_STAT_DAMAGE,措施,统计公路受灾情况
MEA_POST_DISASTER_SURVEY,措施,组织灾后调研
MEA_PLAN_RECONSTRUCTION,措施,拟定灾后恢复重建方案
MEA_IMPLEMENT_RECONSTRUCTION,措施,实施灾后恢复重建
MEA_WRITE_CHRONICLE,措施,编写应急处置大事记
MEA_EVALUATE_RESPONSE,措施,总结评估
MEA_TRAINING,措施,组织公路交通应急培训
MEA_DRILL,措施,组织公路交通应急演练
MEA_RELEASE_TRAVEL_INFO,措施,发布公路出行信息
MEA_DRAFT_PLAN_RULES,措施,拟定应急预案和规章制度
MEA_GUIDE_LOCAL_PLAN,措施,指导地方编制应急预案
MEA_RESEARCH_SUPPORT,措施,组织应急科研开发
