entity_id,entity_name,entity_type,alias,alias_type,source
EVT_VEHICLE_BACKLOG,车辆积压,Event,追尾事故,scene_expression,案例抽取自动补充:001_京港澳高速漯河段多车连环追尾事故_e0fe5421
EVT_HAZMAT_LEAK,危险化学品运输泄漏事件,Event,危化品泄漏,scene_expression,案例抽取自动补充:002_城市隧道内危化品车追尾泄漏事故_1606f9a2
EVT_MAJOR_BRIDGE_ACCIDENT,特大桥梁安全事故,Event,桥梁坍塌,scene_expression,案例抽取自动补充:003_山区公路桥梁坍塌事故_55111111
EVT_METEO_ROAD,公路气象灾害,Event,道路积水,scene_expression,案例抽取自动补充:004_暴雨天气城市道路积水交通事故_2e78a65f
EVT_HAZMAT_LEAK,危险化学品运输泄漏事件,Event,危化品运输车辆起火爆燃事故,scene_expression,案例抽取自动补充:005_高速公路危化品车起火爆燃事故_13d4651b
EVT_ROAD_INTERRUPTION,公路中断,Event,车辆侧翻,scene_expression,案例抽取自动补充:006_乡村道路货车侧翻伤人事故_739eb5da
EVT_TRAFFIC_ACCIDENT,交通事故,Event,车辆侧翻,scene_expression,案例抽取自动补充:006_乡村道路货车侧翻伤人事故_739eb5da
EVT_TRAFFIC_ACCIDENT,交通事故,Event,车辆坠桥,scene_expression,案例抽取自动补充:007_高架道路车辆冲撞护栏坠桥事故_47596a34
EVT_ROAD_DAMAGE,公路损毁,Event,车辆坠桥,scene_expression,案例抽取自动补充:007_高架道路车辆冲撞护栏坠桥事故_47596a34
EVT_ROAD_ICE,道路积冰,Event,车辆侧滑碰撞,scene_expression,案例抽取自动补充:008_冰雪天气高速公路车辆侧滑碰撞事故_35ff869e
EVT_VEHICLE_BACKLOG,车辆积压,Event,车辆侧滑碰撞,scene_expression,案例抽取自动补充:008_冰雪天气高速公路车辆侧滑碰撞事故_35ff869e
EVT_TRAFFIC_ACCIDENT,交通事故,Event,施工区域碰撞,scene_expression,案例抽取自动补充:010_施工路段交通事故致人被困事故_508789f5
EVT_CONSTRUCTION_SAFETY,施工安全事故,Event,施工区域碰撞,scene_expression,案例抽取自动补充:010_施工路段交通事故致人被困事故_508789f5
