entity_id,entity_name,entity_type,alias,alias_type,source
EVT_ANIMAL_EPIDEMIC,动物疫情,Event,动物疫情事件,text_expression,国家交通应急预案+人工整理
EVT_ANIMAL_EPIDEMIC,动物疫情,Event,动物疫病,official_variant,国家交通应急预案+人工整理
EVT_ANIMAL_EPIDEMIC,动物疫情,Event,畜禽疫情,scene_expression,国家交通应急预案+人工整理
EVT_BIOLOGICAL,生物灾害,Event,生物事件,text_expression,国家交通应急预案+人工整理
EVT_BIOLOGICAL,生物灾害,Event,生物灾害事件,scene_expression,国家交通应急预案+人工整理
EVT_BIOLOGICAL,生物灾害,Event,生物类灾害,official_variant,国家交通应急预案+人工整理
EVT_CONSTRUCTION_ACCIDENT,公路工程建设事故,Event,公路施工事故,official_variant,国家交通应急预案+人工整理
EVT_CONSTRUCTION_ACCIDENT,公路工程建设事故,Event,工程建设事故,text_expression,国家交通应急预案+人工整理
EVT_CONSTRUCTION_ACCIDENT,公路工程建设事故,Event,施工机械坠河,scene_expression,案例抽取自动补充:036_城市河道清淤工程车坠河事故_e9e0f326
EVT_CONSTRUCTION_ACCIDENT,公路工程建设事故,Event,落石,scene_expression,案例抽取自动补充:011_山区公路落石阻断救援通道事故_9e199752
EVT_CONSTRUCTION_ACCIDENT,公路工程建设事故,Event,道路施工事故,scene_expression,国家交通应急预案+人工整理
EVT_CONSTRUCTION_ACCIDENT,公路工程建设事故,Event,高空坠物,scene_expression,案例抽取自动补充:011_城市高架路高空作业车坠物砸车事故_f65b0fe9
EVT_CONSTRUCTION_SAFETY,施工安全事故,Event,施工事故,official_variant,国家交通应急预案+人工整理
EVT_CONSTRUCTION_SAFETY,施工安全事故,Event,施工作业事故,scene_expression,国家交通应急预案+人工整理
EVT_CONSTRUCTION_SAFETY,施工安全事故,Event,施工区域碰撞,scene_expression,案例抽取自动补充:010_施工路段交通事故致人被困事故_508789f5
