case_id,case_title,object_type,object_name,object_role,risk_level,risk_reason,confidence,evidence,import_action
001_经典交通应急处置案例_补充_4ace74ea,经典交通应急处置案例（补充）,case,经典交通应急处置案例（补充）,case,HIGH,case_empty_relations,0.0000,,needs_reextract
005_高速服务区车辆起火事故_dac6bbf7,高速服务区车辆起火事故,entity,电池短路,Action,MEDIUM,action_weak_semantics,0.9500,因电池短路引发起火,kept_with_risk
005_高速服务区车辆起火事故_dac6bbf7,高速服务区车辆起火事故,entity,小型轿车,Resource,MEDIUM,resource_civilian_vehicle,0.9000,一辆小型轿车,kept_with_risk
006_危化品运输车与私家车碰撞泄漏事故_9a2ba735,危化品运输车与私家车碰撞泄漏事故,entity,正面碰撞,Action,MEDIUM,action_weak_semantics,0.8500,与一辆逆行的私家车发生正面碰撞,kept_with_risk
007_城市快速路多车追尾事故_91cf4a2e,城市快速路多车追尾事故,entity,急刹车,Action,MEDIUM,action_weak_semantics,0.8000,一辆小型轿车因急刹车,kept_with_risk
007_城市快速路多车追尾事故_91cf4a2e,城市快速路多车追尾事故,relation,追尾事故-TRIGGERS-急刹车,Event->Action,MEDIUM,relation_fallback_inferred,0.6200,一辆小型轿车因急刹车,kept_with_risk
007_城市快速路多车追尾事故_91cf4a2e,城市快速路多车追尾事故,relation,追尾事故-CAUSES-油路泄漏,Event->Event,MEDIUM,relation_fallback_inferred,0.6000,造成3人轻微受伤，快速路单向交通严重拥堵，后方车辆滞留约6公里，早高峰通勤受到严重影响，事故车辆占用应急车道，影响救援车辆通行，部分车辆因碰撞出现油路泄漏，存在起火风险。,kept_with_risk
008_乡村道路拖拉机与行人碰撞事故_7fd0535a,乡村道路拖拉机与行人碰撞事故,entity,碰撞,Action,MEDIUM,action_weak_semantics,0.9000,发生碰撞，老人被撞倒在地,kept_with_risk
008_乡村道路拖拉机与行人碰撞事故_7fd0535a,乡村道路拖拉机与行人碰撞事故,relation,车辆碰撞行人-TRIGGERS-碰撞,Event->Action,MEDIUM,relation_fallback_inferred,0.6200,发生碰撞，老人被撞倒在地,kept_with_risk
009_隧道内车辆起火浓烟封堵事故_2ff59dd3,隧道内车辆起火浓烟封堵事故,case,隧道内车辆起火浓烟封堵事故,case,HIGH,case_empty_relations,0.8000,某山区隧道（长1800米），一辆大型货车行驶至隧道中段时，因刹车失灵引发车辆起火，火势迅速蔓延，产生大量浓烟，封堵整个隧道，隧道内有5辆车辆滞留，驾驶员和乘客无法撤离，隧道通风系统正常运行但无法快速排出浓烟。,needs_reextract
011_高速货车与护栏碰撞燃油泄漏事故_ae8b8317,高速货车与护栏碰撞燃油泄漏事故,entity,驾驶员疲劳驾驶,Action,MEDIUM,action_weak_semantics,0.8500,因驾驶员疲劳驾驶,kept_with_risk
011_高速货车与护栏碰撞燃油泄漏事故_ae8b8317,高速货车与护栏碰撞燃油泄漏事故,relation,燃油泄漏-TRIGGERS-驾驶员疲劳驾驶,Event->Action,MEDIUM,relation_fallback_inferred,0.6200,因驾驶员疲劳驾驶,kept_with_risk
012_城市路口货车闯红灯撞人事故_bb08dee8,城市路口货车闯红灯撞人事故,entity,闯红灯,Action,MEDIUM,action_weak_semantics,0.9500,一辆重型货车闯红灯行驶,kept_with_risk
012_城市路口货车闯红灯撞人事故_bb08dee8,城市路口货车闯红灯撞人事故,entity,重型货车,Resource,MEDIUM,resource_civilian_vehicle,0.9000,一辆重型货车,kept_with_risk
012_城市路口货车闯红灯撞人事故_bb08dee8,城市路口货车闯红灯撞人事故,relation,闯红灯-REQUIRES-重型货车,Action->Resource,MEDIUM,relation_fallback_inferred,0.6200,一辆重型货车闯红灯行驶,kept_with_risk
012_城市路口货车闯红灯撞人事故_bb08dee8,城市路口货车闯红灯撞人事故,relation,道路交通碰撞-TRIGGERS-闯红灯,Event->Action,MEDIUM,relation_fallback_inferred,0.6200,一辆重型货车闯红灯行驶,kept_with_risk
012_城市路口货车闯红灯撞人事故_bb08dee8,城市路口货车闯红灯撞人事故,relation,道路交通碰撞-CAUSES-道路交通拥堵,Event->Event,MEDIUM,relation_fallback_inferred,0.6000,造成2名行人1人死亡、1人重伤，电动自行车骑行者1人轻伤，电动自行车完全损坏，货车车头轻微受损，路口双向交通严重拥堵，周边多个路口出现车辆滞留，围观群众聚集易引发二次事故。,kept_with_risk
013_山区公路客车坠崖事故_8922caf2,山区公路客车坠崖事故,entity,驾驶员超速行驶,Action,MEDIUM,action_weak_semantics,0.8500,因驾驶员超速行驶,kept_with_risk
013_山区公路客车坠崖事故_8922caf2,山区公路客车坠崖事故,relation,客车坠崖-TRIGGERS-驾驶员超速行驶,Event->Action,MEDIUM,relation_fallback_inferred,0.6200,因驾驶员超速行驶,kept_with_risk
014_大雾天气乡村道路交通事故_a8b00b5a,大雾天气乡村道路交通事故,entity,小型货车,Resource,MEDIUM,resource_civilian_vehicle,0.9000,一辆小型货车,kept_with_risk
014_大雾天气乡村道路交通事故_a8b00b5a,大雾天气乡村道路交通事故,entity,电动三轮车,Resource,MEDIUM,resource_weak_semantics,0.9000,一辆电动三轮车,kept_with_risk
014_大雾天气乡村道路交通事故_a8b00b5a,大雾天气乡村道路交通事故,entity,疏散,Action,MEDIUM,action_weak_semantics,0.7500,疏散过往车辆和群众,kept_with_risk
015_高速危化品车罐体爆炸事故_f7b8552f,高速危化品车罐体爆炸事故,entity,车辆追尾,Action,MEDIUM,action_weak_semantics,0.9000,因与前方一辆重型货车发生追尾,kept_with_risk
016_城市小区门口车辆碰撞儿童事故_50ca750e,城市小区门口车辆碰撞儿童事故,case,城市小区门口车辆碰撞儿童事故,case,HIGH,case_empty_relations,0.8000,某市小区门口，一辆小型轿车在驶出小区时，因驾驶员未观察前方路况，与正在小区门口玩耍的2名儿童发生碰撞，儿童被撞倒在地，轿车未立即停车，后被周边群众拦下，小区门口人流量较大，有多名行人围观。,needs_reextract
017_桥梁施工坠落事故_fac4dd46,桥梁施工坠落事故,entity,桥梁护栏维修作业,Action,MEDIUM,action_weak_semantics,0.8000,施工单位正在进行桥梁护栏维修作业,kept_with_risk
017_桥梁施工坠落事故_fac4dd46,桥梁施工坠落事故,entity,工程车,Resource,MEDIUM,resource_weak_semantics,0.9000,一辆施工工程车,kept_with_risk
018_冰雪路面乡村道路多车碰撞事故_4b49398a,冰雪路面乡村道路多车碰撞事故,entity,车辆侧滑,Action,MEDIUM,action_weak_semantics,0.9000,发生侧滑,kept_with_risk
